"","Leonard LanceRepublican","Peter JacobDemocratic","Dan O'NeillLibertarian Party","Arthur T. Haussmann Jr.Conservative Party"
Chester Boro,508,280,10,3
Chester Twp,"2,652","1,320",67,18
Dover,"1,132","2,759",52,28
Long Hill Twp,"2,607","1,744",84,6
Mine Hill Twp,856,700,31,8
Mount Arlington,"1,583",923,41,11
Mount Olive Twp,"6,131","4,779",220,48
Netcong,687,432,21,7
Roxbury Twp,"6,635","3,860",181,39
Washington Twp,"6,171","3,180",151,40
Wharton Boro,"1,146","1,249",44,11
Federal Overseas,8,71,2,0
Morris Totals,"30,116","21,297",904,219
