MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Aberdeen Twp,"4,328","4,126",159,107,6,1,3,7,1
Allenhurst Boro,100,173,4,5,0,0,0,0,0
Allentown Boro,545,481,29,9,2,0,0,2,0
Asbury Park City,"4,179",746,75,72,2,5,1,10,2
Atlantic Highlands Boro,"1,214","1,197",68,44,2,4,4,4,0
Avon-by-the-Sea Boro,460,625,21,16,1,0,3,1,1
Belmar Boro,"1,279","1,596",83,43,1,1,1,2,2
Bradley Beach Boro,999,835,61,33,2,1,0,3,1
Brielle Boro,941,"1,993",73,21,5,4,2,2,0
Colts Neck Twp,"1,718","3,819",121,26,7,0,0,5,0
Deal Boro,103,206,2,1,0,0,0,0,1
Eatontown Boro,"2,754","2,669",131,72,8,2,1,8,0
Englishtown Boro,304,564,9,11,1,0,0,0,0
Fair Haven Boro,"1,790","1,476",110,33,4,0,0,3,0
Farmingdale Boro,238,426,25,6,0,0,0,0,0
Freehold Boro,"1,977","1,513",80,42,3,1,4,5,1
Freehold Twp,"7,410","9,972",352,160,14,10,7,15,2
Hazlet Twp,"3,566","6,252",229,118,9,6,3,15,2
Highlands Boro,983,"1,172",41,45,3,0,0,4,1
Holmdel Twp,"3,577","4,919",176,84,4,2,1,7,1
Howell Twp,"9,505","15,948",559,283,29,13,8,44,8
Interlaken Boro,272,298,18,8,1,0,0,0,0
Keansburg Boro,"1,303","1,759",53,29,2,0,2,2,1
Keyport Boro,"1,428","1,622",46,39,6,4,3,7,2
Lake Como,384,388,20,12,0,0,0,0,0
Little Silver Boro,"1,696","1,871",96,29,0,0,0,5,0
Loch Arbour Village,49,53,4,1,0,0,0,0,0
Long Branch City,"5,589","3,641",114,126,7,2,8,8,2
Manalapan Twp,"8,542","11,905",366,135,15,1,3,18,2
Manasquan Boro,"1,344","2,004",82,36,2,1,3,1,0
Marlboro Twp,"9,923","10,198",304,160,18,5,7,8,3
Matawan Boro,"1,929","2,183",110,48,12,1,2,5,4
Middletown Twp,"12,979","21,267",789,357,35,12,14,42,4
Millstone Twp,"1,845","3,732",131,48,8,1,3,4,2
Monmouth Beach Boro,754,"1,163",27,8,0,0,0,2,0
Neptune Twp,"9,092","4,119",189,147,23,6,4,21,4
Neptune City Boro,"1,159","1,201",54,26,3,0,0,3,1
Ocean Twp,"6,848","6,759",266,127,8,4,7,15,6
Oceanport Boro,"1,249","1,997",61,36,1,1,1,3,0
Red Bank Boro,"2,931","1,645",108,74,2,0,0,8,1
Roosevelt Boro,317,153,13,12,0,0,1,0,0
Rumson Boro,"1,592","2,131",120,33,1,1,2,0,1
Sea Bright Boro,326,463,26,10,2,0,0,0,0
Sea Girt Boro,345,808,29,8,2,0,0,0,0
Shrewsbury Boro,"1,041","1,234",58,23,1,1,0,4,1
Shrewsbury Twp,278,169,12,9,0,2,0,2,1
Spring Lake Boro,646,"1,138",34,17,0,0,0,2,0
Spring Lake Heights Boro,"1,150","1,639",54,34,4,0,1,1,0
Tinton Falls Boro,"5,050","4,859",218,97,12,1,2,20,1
Union Beach Boro,892,"1,573",65,39,1,2,0,7,0
Upper Freehold Twp,"1,408","2,352",93,34,2,1,2,3,1
Wall Twp,"5,092","9,412",341,139,16,6,1,11,1
West Long Branch Boro,"1,372","2,231",71,48,0,1,0,1,0
Federal Overseas,386,48,8,9,0,0,0,1,0
COUNTY TOTAL,"137,181","166,723","6,388","3,189",287,103,104,341,61
