"","Donald M. Payne Jr.Democratic","David H. PinckneyRepublican","Joanne MillerWomen of Power","Aaron Walter FraserNew Beginning's"
Hillside,"6,437",997,78,19
Linden,"9,140","3,015",221,111
Rahway,"7,102","2,473",146,60
Roselle,"6,436",733,82,39
Roselle Park,"2,614","1,727",85,28
Union,"7,093","1,479",105,63
Federal Overseas,,,,
Union Totals,"38,822","10,424",717,320
