MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Bass River Twp,176,521,19,10,1,0,0,0,0
Beverly City,622,349,31,26,4,0,0,0,0
Bordentown City,"1,231",659,70,46,4,0,5,0,3
Bordentown Twp,"2,929","2,493",116,73,5,2,2,0,2
Burlington City,"2,757","1,244",72,50,10,0,0,0,4
Burlington Twp,"7,297","3,517",192,95,21,3,4,3,4
Chesterfield Twp,"1,264","1,336",64,34,1,0,4,0,1
Cinnnaminson Twp,"4,589","4,203",210,95,20,3,4,3,6
Delanco Twp.,"1,342","1,016",55,26,6,1,1,1,2
Delran Twp.,"4,300","3,579",157,80,7,1,5,0,0
Eastampton Twp,"1,572","1,125",77,39,8,0,1,1,0
Edgewater Park Twp.,"2,360","1,148",57,41,8,0,3,0,4
Evesham Twp,"12,739","10,850",584,224,39,1,18,4,7
Fieldsboro Boro,131,121,17,5,0,0,0,0,0
Florence Twp,"3,054","2,832",135,84,9,3,5,1,6
Hainesport Twp,"1,602","1,617",92,35,3,1,1,0,2
Lumberton Twp,"3,573","2,351",158,65,13,1,2,0,5
Mansfield Twp,"2,451","2,682",110,38,9,0,3,1,4
Maple Shade Twp.,"4,354","3,123",183,100,14,1,7,2,3
Medford Lakes Boro,"1,193","1,135",83,25,4,0,1,0,0
Medford Twp.,"6,301","6,891",364,140,16,1,5,4,4
Moorestown Twp.,"6,543","4,659",302,124,13,0,3,2,5
Mount Holly Twp.,"2,469","1,171",100,55,7,2,7,2,5
Mount Laurel Twp.,"13,155","8,875",546,178,39,2,9,2,5
New Hanover Twp.,171,283,10,1,2,0,0,0,0
North Hanover Twp.,816,"1,484",80,32,8,0,1,0,1
Palmyra Boro,"2,189","1,279",83,41,5,1,2,1,3
Pemberton Boro,310,302,15,11,0,0,1,0,0
Pemberton Township,"5,155","3,993",196,139,20,0,6,4,5
RiversideTwp.,"1,368","1,258",52,42,2,1,4,2,1
Riverton Boro,871,562,53,31,7,3,2,0,0
Shamong Twp.,"1,245","2,125",110,37,6,0,3,1,0
Southampton Twp.,"2,217","3,454",120,54,13,1,3,0,3
Springfield Twp.,659,"1,168",57,20,4,1,1,2,0
Tabernacle Twp.,"1,271","2,396",122,33,5,0,0,0,1
Washington Twp.,148,210,3,4,0,0,0,0,1
Westampton Twp.,"2,935","1,453",107,41,7,1,1,1,3
Willingboro Twp.,"14,033","1,276",117,162,10,2,10,6,7
Woodland Twp.,218,450,25,12,1,0,1,2,0
Wrightstown Boro,115,82,2,1,0,0,0,0,1
COUNTY TOTAL,"121,725","89,272","4,946","2,349",351,32,125,45,98
