MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Avalon Boro,327,516,16,4,1,0,0,0,1
Cape May City,652,733,35,13,0,0,1,0,0
Cape May Point Boro,78,62,4,1,0,0,0,0,0
Dennis Twp.,"1,172","2,174",81,43,16,1,0,1,0
Lower Twp.,"3,960","6,461",189,85,45,3,6,3,1
Middle Twp.,"3,666","5,227",159,61,39,3,6,6,3
North Wildwood City,671,"1,347",31,13,6,0,1,0,1
Ocean City,"2,670","3,708",120,47,18,0,3,6,1
Sea Isle City,482,897,19,4,3,1,0,0,0
Stone Harbor Boro,187,296,12,3,1,0,0,0,0
Upper Twp.,"2,557","4,290",177,73,28,2,4,3,2
West Cape May Boro,355,235,11,6,1,0,0,0,0
West Wildwood Boro,107,181,2,3,2,0,0,0,0
Wildwood City,779,860,12,11,2,0,1,1,0
Wildwood Crest Boro,550,"1,143",22,15,3,0,3,0,0
Woodbine Boro,486,311,10,7,1,0,1,0,1
Federal Overseas,51,5,3,1,1,0,0,0,0
COUNTY TOTAL,"18,750","28,446",903,390,167,10,26,20,10
