MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Bloomingdale Boro,"1,550","2,104",114,44,6,1,1,0,1
Clifton City,"20,426","12,619",427,417,37,19,17,9,47
Haledon Boro,"2,287",779,31,52,2,1,1,3,7
Hawthorne Boro,"4,283","4,587",165,103,14,3,7,5,5
Little FallsTwp.,"3,148","3,090",111,82,4,1,1,2,3
North Haledon Boro,"1,613","3,075",67,41,11,1,2,0,2
Passaic City,"12,275","3,743",139,158,15,8,8,2,32
Paterson City,"40,697","3,999",182,323,30,6,16,17,66
Pompton Lakes Boro,"2,298","2,824",98,52,4,1,3,0,12
Prospect Park Boro,"1,820",406,23,34,7,4,1,2,8
Ringwood Boro,"2,805","3,562",158,95,6,1,2,2,6
Totowa Boro,"1,997","3,336",76,44,4,2,3,1,8
Wanaque Boro,"2,345","3,024",102,55,10,4,1,3,3
Wayne Twp.,"11,764","14,639",459,248,36,2,11,6,22
West Milford Twp.,"4,374","8,172",323,148,21,4,8,1,12
Woodland Park,"3,077","2,943",66,52,5,3,1,1,8
COUNTY TOTAL,"116,759","72,902","2,541","1,948",212,61,83,54,242
