"","Christopher H. SmithRepublican","Lorna PhillipsonDemocratic","Jeremy MarcusLibertarian Party","Hank SchroederEconomic Growth"
Hamilton Twp,"23,896","15,720",409,127
Robbinsville Twp,"4,092","2,662",78,18
Federal Overseas,,,,
Mercer Totals,"27,988","18,382",487,145
