MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Audubon Boro,"2,600","1,865",102,77,26,2,1,3,1
Audubon Park Boro,294,234,7,5,1,0,0,2,0
Barrington Boro,"1,842","1,342",93,48,20,1,0,1,2
Bellmawr Boro,"2,555","2,337",88,43,20,3,2,3,0
Berlin Boro,"1,715","1,853",91,45,9,1,0,1,1
Berlin Township,"1,295","1,101",47,14,6,1,1,0,1
Brooklawn Boro,437,314,26,6,3,0,1,0,0
Camden City,"19,654",838,60,124,40,2,5,2,2
Cherry Hill Twp.,"23,685","12,096",784,308,77,6,16,7,5
Chesilhurst Boro,505,191,2,7,3,0,0,0,0
Clementon Boro,"1,155",712,40,27,9,1,2,1,0
Collingswood Boro,"5,255","1,752",193,134,14,6,3,2,5
Gibbsboro Boro,611,572,39,13,6,0,0,0,0
Gloucester City,"2,100","1,789",70,35,15,0,3,3,0
Gloucester Twp.,"16,673","11,843",562,236,97,5,8,11,4
Haddon Twp.,"5,148","2,879",248,102,22,1,1,1,2
Haddonfield Boro,"4,574","2,222",197,50,14,2,0,0,1
Haddon Heights Boro,"2,563","1,610",135,46,31,1,1,2,1
Hi-Nella Boro,224,133,12,9,2,0,0,0,0
Laurel Springs Boro,509,407,28,13,4,0,0,1,0
Lawnside Boro,"1,471",38,4,7,2,0,1,0,0
Lindenwood Boro,"4,416","1,350",81,70,30,0,2,2,1
Magnolia Boro,"1,205",698,41,16,8,1,2,1,0
Merchantville Boro,"1,206",534,41,24,6,0,2,1,0
Mount Ephriam Boro,"1,131",966,57,22,9,0,1,1,1
Oaklyn Boro,"1,215",733,51,25,10,0,0,2,0
Pennsauken  Twp.,"11,390","3,250",182,109,52,3,9,7,7
Pine Hill Boro,"2,635","1,377",80,37,21,1,2,4,1
Pine Valley Boro,2,8,0,0,0,0,0,0,0
Runnemede Boro,"1,917","1,649",81,30,16,1,3,1,2
Somerdale Boro,"1,613",772,46,21,7,1,0,0,0
Stratford Boro,"1,757","1,360",78,33,19,0,1,1,2
Travistock Boro,5,1,2,0,0,0,0,0,0
Voorhees Twp.,"9,037","5,050",294,106,38,1,0,5,3
Waterford Twp.,"2,007","2,968",122,44,21,0,4,0,0
WinslowTwp.,"11,462","5,649",249,104,90,2,6,7,6
Woodlynne Boro,753,131,11,12,4,1,0,2,2
Federal Overseas,101,7,1,1,0,0,0,0,0
COUNTY TOTAL,"146,717","72,631","4,245","2,003",752,43,77,74,50
