MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Bridgeton City of,"3,340","1,003",68,37,7,2,2,1,4
Commercial Twp,662,985,34,24,1,2,0,1,1
Deerfield Twp,529,767,25,11,0,1,0,0,1
Downe Twp,143,542,13,6,3,0,0,0,1
Fairfield Twp,"1,462",604,28,18,6,2,0,1,2
Greenwich Twp,183,230,13,5,1,0,0,0,0
Hopewell Twp,673,"1,293",45,12,7,1,1,0,1
Lawrence Twp,370,821,23,6,5,0,0,1,2
Maurice River Twp,413,"1,000",29,20,2,0,1,0,0
Millville City,"5,253","5,025",232,102,24,4,6,6,10
Shiloh Boro,68,177,7,1,1,0,0,0,0
Stow Creek Twp,198,489,15,3,0,1,0,0,1
Upper Deerfield Twp,"1,336","2,053",80,28,8,3,2,1,1
Vineland City,"13,141","9,464",431,216,39,15,23,11,32
COUNTY TOTAL,"27,771","24,453","1,043",489,104,31,35,22,56
