"","Joshua S. GottheimerDemocratic","Scott GarrettRepublican","Claudio BelusicLibertarian Party"
Allamuchy,925,"1,382",46
Belvidere,494,651,54
Blairstown,997,"1,790",76
Frelinghuysen,368,740,24
Hackettstown,"1,725","1,917",87
Hardwick,307,487,25
Hope,340,620,29
Independence,"1,046","1,432",87
Knowlton,426,858,22
Liberty,416,840,47
Mansfield,"1,168","1,764",100
Oxford,385,647,30
Washington Boro,"1,062","1,132",85
Washington Twp,"1,122","1,920",103
White,776,"1,561",63
Federal Overseas,20,11,1
Warren Totals,"11,577","17,752",879
