MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Bedminster Twp.,"2,250","2,258",123,43,4,4,2,0,1
Bernards Twp.,"6,912","6,795",371,100,24,13,4,4,2
Bernardsville Boro,"1,860","2,071",143,29,3,1,3,1,0
Bound Brook Boro,"1,812","1,274",72,38,7,5,7,1,2
Branchburg Twp.,"3,285","4,466",224,68,5,12,3,2,3
Bridgewater Twp.,"10,985","10,813",614,231,26,34,9,4,5
Far Hills Boro,224,313,7,6,0,0,0,0,1
Franklin Twp.,"21,375","7,818",442,334,37,26,12,9,10
Green Brook Twp.,"1,648","1,700",99,23,7,8,2,2,1
Hillsborough Twp.,"10,276","9,354",590,195,25,24,17,6,2
Manville Boro,"1,447","2,111",90,43,7,9,2,5,0
Millstone Boro,107,133,4,2,0,1,0,0,0
Montgomery Twp.,"6,849","3,806",325,89,9,11,5,2,1
North Plainfield Boro,"5,089","1,824",103,92,8,14,3,3,3
Peapack & Gladstone Boro,620,722,37,13,2,0,1,0,0
Raritan Boro,"1,559","1,500",78,31,6,6,2,0,1
Rocky Hill Boro,291,107,6,5,3,0,0,0,0
Somerville Boro,"2,908","1,678",132,73,10,11,1,0,2
South Bound Brook Boro,985,756,50,25,10,6,2,0,0
Warren Twp.,"3,656","4,483",188,98,10,6,1,1,1
Watchung Boro,"1,551","1,523",78,30,3,2,4,0,0
COUNTY TOTAL,"85,689","65,505","3,776","1,568",206,193,80,40,35
