MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitutionParty","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Alexandria Twp,906,"1,788",69,30,2,1,1,3,0
Bethlehem Twp,829,"1,340",79,25,0,0,0,0,2
Bloomsbury Boro,165,253,10,2,1,0,0,0,0
Califon Boro,270,287,26,9,0,0,0,1,1
Clinton Town,666,647,55,19,3,2,1,1,1
Clinton Township,"3,008","3,993",238,89,12,1,2,0,6
Delaware Twp,"1,249","1,539",70,26,5,0,4,0,1
East Amwell Twp,978,"1,306",88,21,1,0,1,1,2
Flemington Boro,795,670,71,29,4,2,0,1,1
Franklin Twp,620,"1,135",62,7,6,1,0,0,2
Frenchtown Boro,422,274,14,21,0,0,0,1,0
Glen Gardner Boro,335,467,42,7,2,0,0,0,1
Hampton Boro,249,380,20,6,2,0,0,0,1
High Bridge Boro,862,908,86,24,1,1,2,0,2
Holland Twp,941,"1,927",100,40,4,0,2,1,1
Kingwood Twp,688,"1,390",72,22,3,1,2,2,2
Lambertville City,"1,826",579,63,41,3,0,1,0,2
Lebanon Boro,345,502,17,11,0,0,1,1,1
Lebanon Twp,"1,170","2,127",124,38,3,0,1,1,2
Milford Boro,270,350,18,12,3,0,0,0,0
Raritan Twp,"5,415","6,677",358,120,19,2,4,3,11
Readington Twp,"3,590","5,565",278,100,12,2,4,3,6
Stockton Boro,198,115,12,8,2,0,0,0,1
Tewksbury Twp,"1,402","2,109",109,38,1,0,0,0,3
Union Twp,971,"1,486",79,42,1,1,0,0,5
West Amwell Twp,728,898,53,18,4,1,0,0,0
COUNTY TOTAL,"28,898","38,712","2,213",805,94,15,26,19,54
