MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Boonton Town,"2,042","1,817",98,72,5,2,0,0,2
Boonton Township,989,"1,422",55,24,8,1,1,0,0
Butler Boro,"1,333","2,112",77,47,6,3,0,2,0
Chatham Boro,"2,707","1,806",148,42,4,2,3,0,2
Chatham Twp,"3,057","2,696",175,26,3,0,1,0,2
Chester Boro,335,471,17,5,0,0,0,0,0
Chester Township,"1,732","2,436",138,30,6,0,1,0,0
Denville Twp,"4,234","4,980",240,110,14,2,3,2,2
Dover Town,"3,539","1,294",62,68,11,5,6,2,2
East Hanover Twp,"1,886","4,501",81,46,6,3,5,2,2
Florham Park Boro,"2,548","3,175",102,53,7,1,2,4,1
Hanover Twp,"3,071","4,627",151,66,12,0,1,1,0
Harding Twp,969,"1,309",82,16,2,0,1,0,0
Jefferson Twp,"3,716","6,364",221,131,16,5,6,6,1
Kinnelon Boro,"2,127","3,540",151,58,8,0,1,1,0
Lincoln Park Boro,"2,141","2,796",102,65,9,1,3,0,0
Long Hill Twp,"2,163","2,480",133,52,9,2,0,2,0
Madison Boro,"4,421","2,980",253,85,13,2,3,3,0
Mendham Boro,"1,283","1,445",130,29,0,0,1,0,1
Mendham Twp,"1,603","1,776",99,24,6,0,1,0,0
Mine Hill Twp,836,921,50,17,7,0,1,2,1
Montville Twp,"4,939","6,440",203,89,7,1,8,2,1
Morris Plains Boro,"1,628","1,457",90,40,5,1,3,1,0
Morris Twp,"6,983","5,147",330,118,12,6,5,1,3
Morristown Town,"4,984","2,033",185,82,3,5,4,1,0
Mount Arlington Boro,"1,133","1,734",60,35,4,0,1,1,0
Mount Olive Twp,"5,590","6,511",312,156,17,4,5,5,2
Mountain Lakes Boro,"1,300","1,021",79,31,4,1,1,0,0
Netcong Boro,513,846,32,19,3,1,0,0,0
Parsippany-Troy Hills Twp,"12,291","10,398",474,261,27,8,12,4,6
Pequannock Twp.,"3,540","5,090",202,61,14,4,3,1,1
Randolph Twp,"6,785","5,968",314,114,14,3,6,4,0
Riverdale Boro,824,"1,307",45,22,8,1,0,0,0
Rockaway Boro,"1,320","1,646",81,25,7,2,4,0,0
Rockaway Twp,"5,896","6,790",330,130,17,3,11,2,3
Roxbury Twp,"4,626","7,300",282,130,15,4,8,8,0
Victory Gardens Boro,298,71,5,3,0,0,0,0,1
Washington Twp,"3,872","6,067",286,108,18,1,6,1,0
Wharton Boro,"1,456","1,239",62,32,7,1,2,1,0
Federal Overseas,539,58,6,10,0,0,0,0,1
COUNTY TOTAL,"115,249","126,071","5,943","2,532",334,75,119,59,34
