"","Bonnie Watson ColemanDemocratic","Steven J. UccioRepublican","R. Edward ForchionLegalize Marijuana Party","Robert ShapiroTeddy Roosevelt Progressive","Thomas FitzpatrickLibertarian Party","Steven WelzerGreen Party","Michael R. BollentinWe The People"
Bound Brook,"1,560","1,133",121,34,49,24,12
Franklin,"19,004","7,293",804,265,272,262,107
Manville,"1,387","1,631",141,56,56,43,20
South Bound Brook,873,673,58,19,37,13,9
Federal Overseas,,,,,,,
Somerset Totals,"22,824","10,730","1,124",374,414,342,148
