MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitutionParty","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Clayton Boro,"1,980","1,655",81,31,11,2,2,9,0
Deptford Twp.,"7,642","6,126",307,119,25,9,5,26,2
East Greenwich Twp.,"2,391","2,844",150,39,17,0,3,5,0
Elk Twp.,879,"1,183",39,28,7,1,0,2,0
Franklin Twp.,"2,946","4,631",177,74,11,3,6,19,1
Glassboro Boro,"4,135","2,779",172,63,18,3,0,15,1
Greenwich Twp.,"1,090","1,424",60,28,7,0,1,5,0
Harrison Twp.,"2,786","3,706",183,64,14,2,1,3,4
Logan Twp.,"1,554","1,277",81,34,9,2,2,2,0
Mantua Twp.,"3,465","4,182",170,81,16,4,3,7,2
Monroe Twp.,"8,060","8,026",318,136,29,4,10,28,2
National Park Boro,550,627,42,12,4,0,0,3,1
Newfield Boro,306,451,22,5,2,1,1,1,1
Paulsboro Boro,"1,501",621,35,19,2,2,0,6,1
Pitman Boro,"2,211","2,139",154,67,15,2,3,10,1
South Harrison Twp.,598,"1,045",57,17,1,1,1,2,0
Swedesboro Boro,532,440,36,8,3,0,0,1,1
Washington Twp.,"11,144","13,076",492,173,36,7,13,33,5
Wenonah Boro,762,525,50,21,3,0,1,1,1
West Deptford Twp.,"5,365","4,988",241,102,27,3,7,25,6
Westville Boro,761,856,58,23,6,0,1,5,0
Woodbury City,"2,712","1,358",117,60,9,2,2,3,0
Woodbury Heights Boro,825,802,30,19,5,0,1,6,1
Woolwich Twp.,"2,621","2,781",142,33,6,0,7,7,1
Federal Overseas,54,2,2,0,0,0,0,0,0
COUNTY TOTAL,"66,870","67,544","3,216","1,256",283,48,70,224,31
