MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Allamuchy Twp.,917,"1,550",44,25,3,2,1,3,1
Alpha Boro,386,614,35,13,4,1,1,2,1
Belvidere Town,429,772,37,19,3,0,0,2,1
Blairstown Twp.,967,"1,978",65,32,7,5,1,0,4
Franklin Twp.,450,"1,037",46,16,2,0,1,0,2
Frelinghuysen Twp.,332,827,20,21,3,1,1,1,0
Greenwich Twp.,"1,032","1,525",51,14,4,3,2,0,1
Hacketstown Town,"1,659","2,193",105,44,7,5,1,6,3
Hardwick Twp.,286,533,27,14,2,0,0,2,0
Harmony Twp.,354,877,36,25,2,2,1,1,1
Hope Twp.,293,718,32,13,2,0,1,1,1
Independence Twp.,969,"1,682",58,35,6,0,3,4,0
Knowlton Twp.,389,944,31,13,5,3,1,1,1
Liberty Twp.,389,943,37,10,6,1,0,2,0
Lopatcong Twp.,"1,600","2,248",100,36,9,4,2,1,3
Mansfield Twp.,"1,129","2,015",77,35,7,1,1,2,3
Oxford Twp.,329,763,32,9,4,0,2,1,1
Phillpsburg Town,"2,077","2,352",161,81,19,14,5,9,4
Pohatcong Twp.,515,978,47,20,2,0,0,1,0
Washington Boro,986,"1,337",78,39,9,4,2,1,1
Washington Twp.,"1,057","2,182",84,26,3,2,4,2,1
White Twp.,704,"1,772",55,24,4,3,0,6,0
Federal Overseas,32,18,3,1,0,0,0,0,0
COUNTY TOTAL,"17,281","29,858","1,261",565,113,51,30,48,29
