"","Donald M. Payne Jr.Democratic","David H. PinckneyRepublican","Joanne MillerWomen of Power","Aaron Walter FraserNew Beginning's"
Bayonne,"5,150","2,652",278,108
Jersey City,"27,373","3,905",902,371
Federal Overseas,62,6,6,2
Hudson Totals,"32,585","6,563","1,186",481
