"","Frank A. LoBiondoRepublican","David H. ColeDemocratic","Eric BeechwoodPeople's Independent Progressive","Steven FenichelRepresenting the 99%","Gabriel Brian FrancoFor PoliticalRevolution","James KeenanMake Government Work","John OrdilleLibertarian Party"
Alloway,"1,189",438,12,10,4,23,31
Carneys Point,"1,817","1,352",15,24,14,44,26
Elmer,462,121,1,5,7,4,11
Elsinboro,460,138,9,6,7,2,10
Lower Alloways Cree,774,169,4,7,3,11,16
Mannington,495,172,3,3,5,9,10
Oldmans,654,280,8,9,8,15,11
Penns Grove,402,797,9,23,12,22,13
Pennsville,"4,288","1,494",28,42,40,86,120
Pilesgrove,"1,545",604,12,15,1,33,48
Pittsgrove,"2,788","1,301",20,21,21,56,65
Quinton,811,328,7,14,1,18,27
Salem Eastward,233,596,5,10,3,11,5
Salem Westward,248,479,4,9,3,6,2
Upper Pittsgrove,"1,367",310,4,13,4,18,28
Woodstown,"1,018",651,9,9,6,19,22
Federal Overseas,,,,,,,
Salem Totals,"18,551","9,230",150,220,139,377,445
