MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Berkeley Heights Twp.,"3,482","3,359",197,47,14,7,2,0,3
Clark Twp.,"2,967","5,182",156,62,12,14,5,1,1
Cranford Twp.,"7,057","5,559",322,123,35,18,6,0,5
Elizabeth City,"25,493","6,057",265,258,46,101,20,7,30
Fanwood Boro,"2,542","1,512",108,36,3,8,0,0,2
Garwood Boro,"1,026","1,130",63,24,7,4,2,0,2
Hillside Twp.,"7,663","1,300",50,69,9,15,5,1,2
Kenilworth Boro,"1,491","2,146",67,29,3,9,1,1,4
Linden City,"11,095","4,625",163,107,24,38,6,5,19
Mountainside Boro,"1,641","2,094",73,21,4,9,5,1,5
New Providence Boro,"3,500","2,731",223,49,11,7,1,0,1
Plainfield City,"13,500","1,124",79,146,10,22,3,2,11
Rahway City,"8,318","3,151",149,87,15,37,5,2,11
Roselle Boro,"7,558",981,51,78,8,20,5,1,5
Roselle Park Boro,"3,166","2,278",97,53,17,13,1,1,4
Scotch Plains Twp.,"7,717","4,889",318,112,20,29,6,3,6
Springfield Twp.,"4,801","3,241",161,68,10,7,3,2,3
Summit City,"6,725","3,535",376,69,17,12,2,1,2
Union Twp.,"17,401","6,999",271,237,30,55,9,8,27
Westfield Town,"9,954","5,824",427,93,15,17,4,3,6
Winfield  Twp.,317,397,12,11,1,8,0,0,0
COUNTY TOTAL,"147,414","68,114","3,628","1,779",311,450,91,39,149
