MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitutionParty","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Alloway Twp.,521,"1,096",63,20,5,2,0,1,0
Carneys Point Twp.,"1,685","1,568",75,22,9,2,1,1,1
Elmer Boro,181,395,30,7,0,0,0,0,0
Elsinboro Twp.,199,402,20,12,0,0,0,0,1
Lower Alloways Creek Twp.,211,750,34,8,1,0,0,1,0
Mannington Twp.,242,414,33,4,2,1,0,1,0
Oldmans Twp.,370,590,26,5,3,1,0,0,0
Penns Grove Boro,996,302,26,5,4,0,0,2,1
Pennsville Twp.,"1,952","3,973",183,41,17,2,1,0,0
Pilesgrove Twp.,848,"1,290",77,23,4,1,2,3,0
Pittsgrove Twp.,"1,655","2,508",103,37,12,0,1,2,0
Quinton Twp.,415,746,39,7,3,0,0,2,0
Salem City,"1,307",328,24,13,3,1,0,2,0
Upper Pittsgrove Twp.,458,"1,232",52,10,9,0,1,0,2
Woodstown Boro,864,787,77,24,0,0,0,1,0
COUNTY TOTAL,"11,904","16,381",862,238,72,10,6,16,5
