"","Bill Pascrell Jr.Democratic","Hector L. CastilloRepublican","Diego RiveraLibertarian Party","Jeff BossNSA DID 911"
Clifton,"20,137","8,164",392,331
Haledon,"2,217",576,28,32
Hawthorne,"4,561","3,334",118,64
Passaic,"10,629","2,742",158,126
Patterson,"34,918","3,259",306,225
Prospect Park,"1,728",349,11,15
Federal Overseas,,,,
Passaic Totals,"74,190","18,424","1,013",793
