MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitutionParty","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism andLiberation"
BellevilleTwp.,"8,234","4,927",136,156,14,10,25,6,7
Bloomfield Twp.,"14,762","5,934",288,297,28,10,33,3,9
Caldwell Boro,"1,773","1,604",82,32,12,3,7,0,2
Cedar Grove Twp.,"2,745","3,785",99,36,7,1,3,0,1
East Orange  City,"22,542",594,50,191,11,3,21,21,2
Essex Fells City,507,716,43,4,0,1,1,0,0
Fairfield Twp.,"1,009","2,858",39,20,2,4,2,1,2
Glen Ridge Boro,"3,030",977,105,33,7,2,3,0,1
Irvington Twp.,"16,771",579,32,112,12,5,12,3,5
Livingston Twp.,"9,052","5,475",250,84,11,7,10,4,1
Maplewood Twp.,"11,443","1,248",130,167,12,1,10,4,4
Millburn Twp.,"6,719","2,768",260,64,7,2,6,1,0
Montclair Twp.,"18,048","2,318",313,294,19,10,15,5,5
Newark City,"72,858","5,254",250,693,61,33,88,28,22
North Caldwell Boro,"1,693","1,814",63,24,5,2,2,0,1
Nutley   Twp.,"6,634","7,061",234,160,19,15,9,4,4
Orange City,"9,298",421,26,88,11,3,13,3,2
Roseland Boro,"1,640","2,023",65,20,4,0,3,0,0
South Orange Village Twp.,"7,445",904,119,114,3,3,7,0,2
Verona Twp.,"4,199","3,480",175,72,12,4,7,1,1
West Caldwell Twp.,"2,774","3,128",104,54,11,2,5,2,0
West Orange Twp.,"16,757","5,201",230,196,20,6,22,9,4
Federal Overseas,904,107,18,10,0,0,0,0,0
COUNTY TOTAL,"240,837","63,176","3,111","2,921",288,127,304,95,75
