"","Donald W. NorcrossDemocratic","Bob PattersonRepublican","Michael BermanAmericanIndependents.org","William F. Sihr IVLibertarian Party","Scot John TomaszewskiWe Deserve Better"
Maple Shade Twp,"4,025","2,752",109,64,53
Palmyra Boro,"1,975","1,257",26,31,10
Federal Overseas,,,,,
Burlington Totals,"6,000","4,009",135,95,63
