MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Carteret Boro,"5,963","2,549",73,54,9,15,0,4,4
Cranbury Twp.,"1,196",794,64,20,7,3,0,2,0
Dunellen Boro,"1,493","1,178",91,43,2,5,4,3,2
East Brunswick Twp.,"12,545","9,255",428,257,37,27,14,9,7
Edison Twp.,"22,707","13,483",579,332,49,34,13,18,6
Helmetta Boro,420,619,24,9,0,0,0,0,0
Highland Park Boro,"4,760","1,278",128,150,7,2,3,2,3
Jamesburg Boro,909,"1,022",46,28,2,0,0,1,0
Metuchen Boro,"4,664","2,407",200,85,12,9,8,1,1
Middlesex Boro,"2,734","3,289",121,63,11,12,2,3,3
Milltown Boro,"1,580","2,076",89,55,3,7,1,2,3
Monroe Twp.,"13,147","11,956",314,152,18,16,4,11,3
New Brunswick Twp.,"8,779","1,516",186,187,11,21,6,12,3
North Brunswick Twp.,"10,915","4,810",248,159,14,24,8,7,1
Old Bridge Twp.,"13,308","14,541",493,295,32,34,14,16,5
Perth Amboy City,"11,789","2,287",93,138,4,39,6,7,7
Piscataway Twp.,"15,859","5,459",367,272,25,35,7,22,4
Plainsboro Twp.,"5,960","1,800",160,77,8,8,4,2,0
Sayerville Boro,"8,892","8,611",279,216,23,20,13,7,7
South Amboy City,"1,531","1,896",77,36,1,6,1,5,0
South Brunswick Twp.,"12,827","6,197",372,197,22,22,6,10,4
South Plainfield Boro,"5,456","4,788",213,115,11,16,2,4,4
South River Boro,"2,641","2,708",99,58,13,7,1,2,1
Spotswood Boro,"1,436","2,379",107,32,3,5,2,1,3
Woodbridge Twp.,"21,533","16,055",595,422,44,69,27,16,19
COUNTY TOTAL,"193,044","122,953","5,446","3,452",368,436,146,167,90
