MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Allendale Boro,"1,759","1,756",96,30,3,2,1,0,0
Alpine Boro,458,419,14,9,0,0,0,0,0
Bergenfield Boro,"7,395","3,745",170,103,12,6,7,4,3
Bogota Boro,"2,454","1,230",71,38,5,4,2,1,1
Carlstadt  Boro,"1,289","1,462",69,34,1,1,0,0,1
Cliffside Park Boro,"5,474","3,119",101,108,5,3,3,1,0
ClosterBoro,"2,309","1,478",63,26,6,0,0,1,0
Cresskill Boro,"2,086","1,689",94,24,8,0,0,1,0
Demarest Boro,"1,578",853,48,14,2,1,2,0,1
Dumont Boro,"4,423","3,928",185,94,6,4,4,4,1
East Rutherford Boro,"1,918","1,740",66,66,6,3,3,1,0
Edgewater Boro,"2,932","1,134",80,38,5,0,2,0,0
Elmwood Park Boro,"4,599","3,737",114,102,8,1,0,3,1
Emerson Boro,"1,623","2,188",81,44,3,0,0,0,1
Englewood City,"9,518","2,130",160,110,4,1,0,1,3
Englewood Cliffs Boro,"1,414","1,160",43,16,0,1,2,0,0
Fair Lawn Boro,"8,993","7,062",387,156,21,6,1,3,3
Fairview Boro,"2,423","1,213",29,52,3,5,2,1,1
Fort Lee Boro,"8,963","4,993",153,139,11,5,6,2,4
Franklin Lakes Boro,"2,153","3,721",112,40,3,1,0,0,2
Garfield City,"5,477","3,782",125,108,17,3,1,3,2
Glen Rock Boro,"4,063","2,355",173,54,6,4,1,0,0
Hackensack City,"12,015","3,345",186,139,13,1,10,5,3
Harrington Park Boro,"1,382","1,147",50,20,4,0,2,0,0
Hasbrouck Heights Boro,"2,796","3,126",107,57,5,2,4,1,0
Haworth Boro,"1,158",708,40,24,1,0,1,1,0
Hillsdale Boro,"2,803","2,836",140,58,3,1,2,1,0
Ho-Ho-Kus Boro,"1,131","1,171",81,15,2,1,1,0,1
Leonia Boro,"2,727","1,068",50,49,3,1,0,1,1
Little Ferry  Boro,"2,138","1,568",54,39,2,1,3,1,1
Lodi Boro,"5,395","3,241",105,101,5,2,5,4,3
Lyndhurst Twp.,"4,229","4,818",151,108,13,2,8,2,2
Mahwah Twp.,"5,623","6,811",292,99,12,2,5,1,1
MaywoodBoro,"2,476","1,969",92,43,2,1,3,2,0
Midland Park Boro,"1,690","2,191",92,37,2,1,2,2,0
Montvale Boro,"1,960","2,221",113,30,4,2,0,0,0
Moonachie  Boro,572,545,17,7,1,2,0,0,0
New Milford Boro,"3,975","3,463",148,85,8,6,2,0,0
North Arlington Boro,"3,351","3,392",125,87,9,3,2,1,4
Northvale Boro,994,"1,155",43,21,2,0,0,0,0
Norwood Boro,"1,415","1,249",52,34,1,1,1,0,0
Oakland Boro,"2,872","3,727",176,80,5,4,3,1,2
Old Tappan Boro,"1,365","1,663",51,19,4,1,0,0,0
Oradell Boro,"2,345","2,209",88,41,1,0,2,2,0
Palisades Park Boro,"2,968","1,494",43,41,3,0,1,1,0
Paramus Boro,"6,312","6,565",225,85,12,3,4,4,0
Park Ridge  Boro,"2,108","2,619",98,40,3,1,4,1,0
Ramsey Boro,"3,872","4,132",200,71,11,2,1,0,1
Ridgefield  Boro,"2,270","1,865",73,39,1,0,1,3,0
Ridgefield Park Village,"3,359","1,842",85,71,3,2,1,4,0
Ridgewood Village,"8,000","4,576",376,107,16,3,6,5,1
River Edge Boro,"3,107","2,276",135,45,6,2,2,0,0
River Vale Twp,"2,609","2,904",128,33,5,0,2,0,0
Rochelle Park Twp,"1,291","1,426",50,18,4,2,0,1,0
Rockleigh Boro,68,89,5,0,0,0,0,0,0
Rutherford Boro,"4,796","3,681",190,125,12,2,7,5,0
Saddle Brook Twp,"2,992","3,644",105,66,5,3,0,0,0
Saddle River Boro,611,"1,247",38,11,0,0,3,1,1
South Hackensack Twp,565,473,9,15,0,0,1,0,0
Teaneck Twp,"15,053","4,229",304,187,12,5,8,8,6
Tenafly Boro,"4,542","1,931",137,62,7,4,0,1,0
Teterboro,13,13,0,0,0,0,0,0,0
Upper Saddle River Boro,"1,945","2,350",83,35,4,1,2,1,1
Waldwick Boro,"2,311","2,746",114,58,10,2,3,0,0
Wallington Boro,"1,643","2,222",45,51,3,2,1,2,1
Washington Twp,"2,184","3,036",111,39,6,2,2,0,0
Westwood Boro,"2,877","2,598",106,64,2,3,2,2,0
Woodcliff Lake Boro,"1,804","1,489",77,27,1,1,0,0,0
Wood-Ridge Boro,"2,120","2,308",93,32,6,1,1,1,0
Wyckoff Twp,"4,078","5,257",247,68,12,4,3,1,0
COUNTY TOTAL,"231,211","175,529","7,764","3,988",381,130,148,92,53
