"","Bill Pascrell Jr.Democratic","Hector L. CastilloRepublican","Diego RiveraLibertarian Party","Jeff BossNSA DID 911"
Kearny,"3,331","1,786",106,93
Secaucus,"3,666","1,858",73,99
Federal Overseas,22,0,0,0
Hudson Totals,"7,019","3,644",179,192
