"","Bonnie Watson ColemanDemocratic","Steven J. UccioRepublican","R. Edward ForchionLegalize Marijuana Party","Robert ShapiroTeddy Roosevelt Progressive","Thomas FitzpatrickLibertarian Party","Steven WelzerGreen Party","Michael R. BollentinWe The People"
Cranbury,"1,031",894,29,13,17,13,15
Dunellen,"1,293","1,044",66,29,37,22,13
E. Brunswick,"11,284","8,637",407,207,120,121,74
Helmetta,364,480,35,14,10,4,6
Jamesburg,847,821,59,31,14,14,8
Middlesex,"2,533","2,719",142,56,50,26,29
Milltown,"1,552","1,807",97,41,34,19,17
Monroe,"11,815","10,497",318,210,120,73,103
North Brunswick,"9,650","4,169",401,165,86,102,65
Old Bridge,"7,400","7,448",506,221,149,92,71
Plainsboro,"5,167","1,935",156,66,53,68,37
South Brunswick,"11,468","5,766",399,154,122,107,80
South River,"2,484","2,182",138,51,34,23,24
Spotswood,"1,283","1,793",130,61,45,19,30
Federal Overseas,,,,,,,
Middlesex Totals,"68,171","50,192","2,883","1,319",891,703,572
