"","Frank Pallone Jr.Democratic","Brent Sonnek-SchmelzRepublican","Rajit B. MalliahGreen Party","Judith ShamyLibertarian Party"
Aberdeen Twp,"4,645","3,365",70,64
Allenhurst Boro,131,130,1,3
Asbury Park,"3,867",637,41,39
Atlantic Highlands Boro,"1,344","1,029",22,15
Deal Boro,118,163,1,2
Hazlet Twp,"4,681","4,523",72,65
Highlands Boro,"1,148",879,25,19
Interlaken Boro,281,284,3,1
Keansburg Boro,"1,653","1,056",30,30
Keyport Boro,"1,664","1,186",15,25
Loch Arbour Village,60,45,2,0
Long Branch,"6,023","2,614",80,56
Marlboro Twp,"9,958","9,067",143,105
Matawan Boro,"2,147","1,808",31,30
Middletown Twp,"7,865","8,347",114,130
Monmouth Beach Boro,835,"1,009",5,7
Oceanport Boro,"1,464","1,638",13,15
Seabright Boro,368,406,3,9
Union Beach Boro,"1,243","1,128",18,16
West Long Branch Boro,"1,698","1,733",20,23
Federal Overseas,102,12,7,1
Monmouth Totals,"51,295","41,059",716,655
