"","Leonard LanceRepublican","Peter JacobDemocratic","Dan O'NeillLibertarian Party","Arthur T. Haussmann Jr.Conservative Party"
Alpha,572,331,31,17
Franklin,982,384,40,14
Greenwich,"1,506",850,46,29
Harmony,822,315,35,20
Lopatcong,"2,196","1,322",87,43
Phillipsburg,"2,041","1,877",118,79
Pohatcong,953,438,36,17
Federal Overseas,6,5,0,1
Warren Totals,"9,078","5,522",393,220
