"","Tom MacArthurRepublican","Frederick John LaVergneDemocratic","Lawrence W. Berlinski Jr.Constitution Party"
Barnegat Twp,"6,680","3,313",310
Beachwood Boro,"2,950","1,270",140
Berkeley Twp,"13,607","5,889",456
Brick Twp,"22,008","10,052",867
Island Heights Boro,531,352,14
Lacey Twp,"9,019","3,076",351
Lavallette Boro,840,274,11
Mantoloking Boro,179,37,0
Ocean Twp,"3,469","1,204",98
Ocean Gate Boro,544,319,24
Pine Beach Boro,756,369,28
Point Pleasant Boro,548,279,24
Seaside Heights Boro,429,163,9
Seaside ParkBoro,611,215,19
South Toms River Boro,593,525,29
Stafford Twp,"5,876","2,459",231
Toms River Twp,"26,507","11,970",928
Federal Overseas,,,
Ocean Totals,"95,147","41,766","3,539"
