"","Tom MacArthurRepublican","Frederick John LaVergneDemocratic","Lawrence W. Berlinski Jr.Constitution Party"
Beverly City,414,487,13
Bordentown City,783,"1,011",46
Bordentown Twp,"2,658","2,352",64
Burlington City,"1,421","2,141",85
Burlington Twp,"4,187","5,833",103
Chesterfield Twp,"1,396",987,43
Cinnaminson Twp,"4,999","3,263",98
Delanco Twp,"1,237",947,30
Delran Twp,"4,238","3,121",70
Easthampton Twp,"1,413","1,155",38
Edgewater Park Twp.,"1,340","1,866",54
Evesham Twp,"12,638","8,976",246
Fieldsboro Boro,107,122,7
Florence Twp,"3,075","2,357",82
Hainespirt Twp,"1,984","1,125",31
Lumberton Twp,"3,023","2,619",78
Mansfield Twp,"3,000","1,770",45
Medford Lakes Boro,"1,406",785,32
Medford Twp,"8,304","4,138",143
Moorestown Twp,"6,391","4,520",72
Mount Holly Twp,"1,501","1,875",67
Mount Laurel Twp,"11,327","9,416",198
New Hanover Twp,290,122,9
North Hanover Twp,"1,505",653,43
Pemberton Boro,334,230,9
Pemberton Twp,"4,247","4,131",188
Riverside,"1,332","1,026",55
Riverton Boro,776,621,17
Shamong Twp,"2,326",839,38
Southampton Twp,"3,800","1,432",75
Springfield Twp,"1,254",425,23
Tabernacle Twp,"2,592",879,40
Westampton Twp,"1,854","2,286",48
Willingboro Twp,"1,767","12,019",185
Woodland Twp,445,154,17
Wrightstown Boro,85,77,7
Federal Overseas,,,
Burlington Totals,"99,449","85,760","2,399"
