"","Stephen M. SweeneyDemocratic","Michael M. MulliganRepublican","John J. BurzichelliDemocratic","Celeste M. RileyDemocratic","Domenick DiCiccoRepublican","Bob VillareRepublican",
CUMBERLAND COUNTY,,,,,,,
Bridgeton City,"1,414",456,"1,387","1,462",442,431,
Deerfield Twp.,361,273,337,352,274,258,
Upper Deerfield Twp.,697,,708,728,841,805,
Vote By Mail Total,,843,,,,,
Provisionals Total,,,,,,,
COUNTY TOTAL,"2,472","1,572","2,432","2,542","1,557","1,494",
GLOUCESTER COUNTY,,,,,,,
Clayton Boro,"1,017",686,"1,005",972,673,689,
East Greenwich Twp.,"1,155","1,229","1,190","1,094","1,219","1,243",
Elk Twp.,639,601,625,595,613,614,
Franklin Twp.,"1,518","1,464","1,436","1,425","1,526","1,493",
Glassboro Boro,"1,715","1,088","1,746","1,711","1,081","1,064",
Greenwich Twp.,"1,074",695,"1,161","1,026",636,694,
Logan Twp.,821,457,810,780,466,462,
National Park Boro,385,231,387,363,226,236,
Newfield Boro,215,182,193,192,197,194,
Paulsboro Boro,973,223,969,893,189,265,
South Harrison Twp.,288,441,251,238,456,464,
Swedesboro Boro,383,281,372,343,291,296,
West Deptford Twp.,"3,081","2,630","2,915","2,732","2,820","2,840",
Woodbury Heights Boro,429,379,466,434,359,374,
Woolwich Twp.,812,"1,004",767,743,"1,054","1,037",
Vote By Mail Total,,,,,,,
Provisionals Total,,,,,,,
COUNTY TOTAL,"14,505","11,591","14,293","13,541","11,806","11,965",
SALEM COUNTY,,,,,,,
Alloway Twp.,404,570,410,397,543,561,
Carneys Point Twp.,"1,093",688,"1,106","1,018",672,684,
Elmer Boro,125,143,133,122,142,138,
Elsinboro Twp.,245,205,241,212,224,216,
Lower Alloways Creek Twp.,355,334,371,331,319,320,
Mannington Twp.,219,212,228,199,216,212,
Oldmans Twp.,262,269,281,250,239,264,
Penns Grove Boro,637,170,658,595,145,137,
Pennsville Twp.,"1,594","1,435","1,623","1,478","1,427","1,511",
Pilesgrove Twp.,613,615,610,560,634,645,
Pittsgrove Twp.,954,996,939,937,"1,003",992,
Quinton Twp.,279,289,285,277,278,287,
Salem City- East Ward,358,82,370,344,68,77,
Salem City- West Ward,309,79,305,294,72,90,
Upper Pittsgrove Twp.,303,455,298,296,459,450,
Woodstown Boro,572,492,589,567,464,485,
Vote By Mail Total,,,,,,,
Provisionals Total,,,,,,,
COUNTY TOTAL,"8,322","7,034","8,447","7,877","6,905","7,069",
DISTRICT TOTAL,"25,299","20,197","25,172","23,960","20,268","20,528",
