"","Joe PennacchioRepublican","Wasim KhanDemocratic","Joseph ScafaIndependent","Alex DeCroceRepublican","Jay WebberRepublican","Elliot IsiborDemocratic","Joseph RaichDemocratic","Michael SpectorIndependent",
ESSEX COUNTY,,,,,,,,,
Fairfield Twp.,773,240,17,753,725,235,251,24,
North Caldwell Boro,526,240,11,519,516,238,247,18,
Verona Twp.,"1,079",829,51,"1,051","1,025",815,847,81,
West Caldwell Twp.,"1,113",697,23,"1,091","1,061",694,719,35,
Vote By Mail Total,,,,,,,,,
Provisionals Total,,,,,,,,,
COUNTY TOTAL,"3,491","2,006",102,"3,414","3,327","1,982","2,064",158,
MORRIS COUNTY,,,,,,,,,
Butler Boro,532,227,22,522,510,223,246,40,
Jefferson Twp.,1442,673,74,1403,1411,667,718,98,
Kinnelon Boro,862,274,26,849,837,270,290,32,
Lincoln Park Boro,696,358,32,669,666,353,370,49,
Montville Twp.,2365,841,86,2261,2237,893,943,82,
Morris Plains Boro,765,380,38,750,802,379,382,34,
Parsippany-Troy Hills Twp.,4271,2359,174,4155,4096,2377,2476,223,
Rockaway Twp.,2431,1138,211,2361,2346,1167,1216,184,
Vote By Mail Total,,,,,,,,,
Provisionals Total,,,,,,,,,
COUNTY TOTAL,"13,364","6,250",663,"12,970","12,905","6,329","6,641",742,
PASSAIC COUNTY,,,,,,,,,
West Milford Twp.,"3,375","2,061",148,"3,312","3,311","2,008","2,142",195,
Vote By Mail Total,,,,,,,,,
Provisionals Total,,,,,,,,,
COUNTY TOTAL,"3,375","2,061",148,"3,312","3,311","2,008","2,142",195,
DISTRICT TOTAL,"20,230","10,317",913,"19,696","19,543","10,319","10,847","1,095",
