"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Bedminster Twp.,"1,187","1,531",28,17,12,9,3
Bernards Twp.,"3,774","4,829",72,42,21,20,10
Bernardsville Boro,"1,142","1,529",14,12,10,3,4
Bound Brook Boro,909,892,25,14,11,5,2
Branchburg Twp.,"1,856","3,105",40,30,12,11,11
Bridgewater Twp.,"5,802","7,406",98,58,59,34,39
Far Hills Boro,115,218,1,0,4,0,0
Franklin Twp.,"11,580","5,040",104,57,172,29,50
Green Brook Twp.,846,"1,074",28,6,7,9,6
Hillsborough Twp.,"5,769","6,134",101,58,48,22,24
Manville Boro,695,"1,327",32,9,16,9,5
Millstone Boro,74,90,2,6,4,0,0
Montgomery Twp.,"3,570","2,729",31,38,42,6,13
North Plainfield Boro,"2,496","1,085",31,13,28,9,16
Peapack & Gladstone Boro,354,597,3,4,4,0,0
Raritan Boro,781,977,24,4,9,10,6
Rocky Hill Boro,184,107,0,0,8,2,0
Somerville Boro,"1,737","1,269",30,12,32,9,12
South Bound Brook Boro,514,473,16,8,5,5,3
Warren Twp.,"1,739","2,832",46,13,15,8,5
Watchung Boro,811,987,20,12,14,4,2
Total,"45,935","44,231",746,413,533,204,211
