"","Steve SweeneyDemocratic","Fran GrenierRepublican","John J. BurzichelliDemocratic","Adam TaliaferroDemocratic","Philip J. DonohueRepublican","Linwood H. Donelson IIIRepublican","Edward R. DurrOne For All"
CUMBERLAND COUNTY,,,,,,,
Bridgeton City,"1,483",505,"1,447","1,363",454,429,38
Deerfield Twp.,407,373,371,349,358,330,17
Upper Deerfield Twp.,867,"1,027",872,805,"1,022",948,47
COUNTY TOTAL,"2,757","1,905","2,690","2,517","1,834","1,707",102
GLOUCESTER COUNTY,,,,,,,
Clayton Boro,"1,341",711,"1,324","1,357",673,621,39
East Greenwich Twp.,"1,768","1,372","1,787","1,762","1,309","1,232",34
Elk Twp.,687,625,664,661,610,578,16
Franklin Twp.,"2,398","2,082","2,245","2,288","2,019","1,899",67
Glassboro Boro,"2,577","1,301","2,551","2,637","1,225","1,097",48
Greenwich Twp.,"1,194",678,"1,311","1,228",594,555,22
Logan Twp.,883,628,983,"1,018",526,493,32
National Park Boro,466,243,481,465,221,210,15
Newfield Boro,252,194,220,235,204,178,7
Paulsboro Boro,921,265,987,982,178,174,34
South Harrison Twp.,457,471,418,403,495,470,14
Swedesboro Boro,323,186,329,328,183,165,19
West Deptford Twp.,"4,208","2,136","4,122","4,144","2,074","1,923",91
Woodbury Heights Boro,564,379,596,609,330,309,15
Woolwich Twp.,"1,740","1,368","1,668","1,732","1,380","1,274",34
COUNTY TOTAL,"19,779","12,639","19,686","19,849","12,021","11,178",487
SALEM COUNTY,,,,,,,
Alloway Twp.,557,585,551,465,629,558,0
Carneys Point Twp.,"1,161",720,"1,196","1,076",709,653,0
Elmer Boro,198,159,169,144,196,178,0
Elsinboro Twp.,242,217,252,198,220,213,0
Lower Alloways Creek Twp.,303,328,312,233,329,373,0
Mannington Twp.,252,203,248,195,217,214,0
Oldmans Twp.,344,265,333,298,285,260,0
Penns Grove Boro,416,157,433,408,131,107,0
Pennsville Twp.,"1,746","1,669","1,813","1,579","1,694","1,580",0
Pilesgrove Twp.,706,685,721,649,707,621,0
Pittsgrove Twp.,"1,315","1,223","1,342","1,271","1,222","1,086",0
Quinton Twp.,349,349,354,281,358,362,0
Salem City- East Ward,370,74,372,319,65,66,0
Salem City- West Ward,305,77,302,256,68,67,0
Upper Pittsgrove Twp.,407,598,394,359,631,574,0
Woodstown Boro,615,483,685,636,442,384,0
COUNTY TOTAL,"9,286","7,792","9,477","8,367","7,903","7,296",0
DISTRICT TOTAL,"31,822","22,336","31,853","30,733","21,758","20,181",589
