"","Jeff Van DrewDemocratic","Mary GruccioRepublican","Anthony Parisi SanchezCannot Be Bought","Bob AndrzejczakDemocratic","R. Bruce LandDemocratic","James R. SauroRepublican","Robert G. CampbellRepublican"
ATLANTIC COUNTY,,,,,,,
Corbin City,120,61,1,99,94,77,76
Estell Manor,445,251,15,363,319,297,329
Weymouth,565,317,11,513,475,341,382
COUNTY TOTAL,"1,130",629,27,975,888,715,787
CAPE MAY COUNTY,,,,,,,
Avalon Boro,282,294,1,251,234,325,324
Cape May City,625,261,3,585,554,287,300
Cape May Point Boro,92,32,0,86,81,39,38
Dennis Twp.,"1,645",571,18,"1,482","1,402",690,723
Lower Twp.,"4,578","1,895",41,"4,304","3,938","2,081","2,242"
Middle Twp.,"3,849","1,672",46,"3,555","3,259","1,914","2,038"
North Wildwood City,731,472,13,676,610,515,534
Ocean City,"2,129","1,621",24,"1,942","1,810","1,772","1,800"
Sea Isle City,564,341,3,511,459,388,383
Stone Harbor Boro,166,181,2,144,127,191,196
Upper Twp.,"2,855","1,383",44,"2,482","2,303","1,674","1,699"
West Cape May Boro,418,101,2,387,363,119,127
West Wildwood Boro,122,64,1,113,96,70,75
Wildwood City,579,226,9,536,505,248,263
Wildwood Crest Boro,782,478,10,663,596,560,567
Woodbine Boro,331,78,10,286,272,98,94
COUNTY TOTAL,"19,748","9,670",227,"18,003","16,609","10,971","11,403"
CUMBERLAND COUNTY,,,,,,,
Commercial Twp.,578,288,19,537,534,303,296
Downe Twp.,225,165,8,186,181,200,188
Fairfield Twp,797,248,13,734,717,277,272
Greenwich Twp.,172,102,1,149,144,119,117
Hopewell Twp.,573,595,23,518,499,651,635
Lawrence Twp.,346,281,7,308,315,315,295
Maurice River Twp.,591,300,15,522,521,341,328
Millville City,"4,025","1,878",92,"3,690","3,657","2,068","1,960"
Shiloh Boro,71,79,3,53,51,91,91
Stow Creek Twp.,171,255,7,144,141,270,272
Vineland City,"7,037","4,099",210,"6,735","6,681","4,124","3,606"
COUNTY TOTAL,"14,586","8,290",398,"13,576","13,441","8,759","8,060"
DISTRICT TOTAL,"35,464","18,589",652,"32,554","30,938","20,445","20,250"
