"","Michael J.DohertyRepublican","Christine LuiChenDemocratic","ErikPetersonRepublican","JohnDiMaioRepublican","Laura ShawDemocratic","Charles BoddyDemocratic","Tyler J. GranEnd TheCorruption","MichaelEstradaWe DefineTomorrow"
HUNTERDON COUNTY,,,,,,,,
Alexandria Twp.,"1,226",563,"1,150","1,121",549,487,97,64
Bethlehem Twp.,888,532,826,815,524,464,68,47
Bloomsbury Boro,144,101,138,133,97,89,10,11
Califon Boro,208,198,201,203,189,174,12,11
Clinton Town,480,448,446,445,463,399,33,23
Clinton Twp.,"2,734","1,725","2,565","2,552","1,735","1,530",179,113
Franklin Twp.,781,392,766,734,377,336,45,35
Frenchtown Boro,153,312,152,149,304,277,21,13
Glen Gardner Boro,311,181,272,266,185,158,31,14
Hampton Boro,244,137,221,222,139,129,15,13
High Bridge Boro,652,612,608,596,606,532,63,64
Holland Twp.,"1,155",567,"1,066","1,064",568,508,77,47
Kingwood Twp.,885,411,806,810,410,377,69,43
Lebanon Boro,306,205,291,285,209,187,16,12
Lebanon Twp.,"1,447",708,"1,312","1,324",708,625,107,63
Milford Boro,202,183,189,185,179,155,31,16
Tewksbury Twp.,"1,443",841,"1,364","1,400",810,728,73,50
Union Twp.,962,543,907,911,530,471,56,36
COUNTY TOTAL,"14,221","8,659","13,280","13,215","8,582","7,626","1,003",675
SOMERSET COUNTY,,,,,,,,
Bedminister Twp.,"1,503","1,203","1,484","1,469","1,198","1,128",20,11
Bound Brook Boro,862,915,828,836,888,856,32,37
Bridgewater Twp.,"7,083","5,960","7,023","6,971","5,757","5,476",181,112
Peapack & Gladstone Boro,561,363,563,566,351,317,7,4
Raritan Boro,902,825,875,881,805,768,22,15
South Bound Brook Boro,459,505,453,454,496,477,15,6
COUNTY TOTAL,"11,370","9,771","11,226","11,177","9,495","9,022",277,185
"",,,,,,,,
WARREN COUNTY,,,,,,,,
Alpha Boro,336,240,230,291,241,171,42,23
Franklin Twp.,684,242,536,646,239,189,32,28
Greenwich Twp.,856,549,679,809,556,464,48,27
Hackettstown Town,"1,226",815,986,"1,204",816,615,79,47
Harmony Twp.,498,195,389,453,200,146,32,11
Lopatcong Twp.,"1,288",864,996,"1,238",851,683,114,54
Mansfield Twp.,"1,150",568,887,"1,086",568,454,69,45
Phillipsburg Town,"1,363","1,277","1,003","1,248","1,311","1,074",86,72
Pohatcong Twp.,518,311,409,477,298,248,46,17
Washington Boro,827,630,617,787,616,530,46,30
Washington Twp.,"1,339",609,995,"1,249",613,468,47,42
COUNTY TOTAL,"10,085","6,300","7,727","9,488","6,309","5,042",641,396
"",,,,,,,,
DISTRICT TOTAL,"35,676","24,730","32,233","33,880","24,386","21,690","1,921","1,256"
