"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
BellevilleTwp.,"3,906","1,939",70,20,23,28,14
Bloomfield Twp.,"7,927","2,533",103,35,96,34,14
Caldwell Boro,"1,288","1,002",17,9,10,11,2
Cedar Grove Twp.,"1,728","1,780",30,16,10,17,1
East Orange  City,"11,891",231,35,11,40,8,11
Essex Fells City,276,397,1,3,1,0,1
Fairfield Twp.,625,"1,193",15,6,3,4,0
Glen Ridge Boro,"1,902",574,25,19,11,3,2
Irvington Twp.,"8,437",213,30,4,15,8,9
Livingston Twp.,"4,671","2,872",37,25,13,11,9
Maplewood Twp.,"7,330",835,48,20,72,12,3
Millburn Twp.,"3,454","1,944",46,19,13,6,1
Montclair Twp.,"11,520","1,337",52,39,85,5,6
Newark City,"34,288","1,658",150,35,183,52,67
North Caldwell Boro,918,"1,039",17,8,4,3,0
Nutley   Twp.,"4,020","3,070",90,31,36,29,7
Orange City,"4,903",190,6,3,16,6,7
Roseland Boro,"1,133","1,181",16,7,4,9,1
South Orange Village Twp.,"5,029",611,25,17,50,3,5
Verona Twp.,"2,767","1,754",42,24,9,12,1
West Caldwell Twp.,"1,743","1,682",37,15,8,10,1
West Orange Twp.,"9,714","2,598",98,33,37,25,12
Total,"129,470","30,633",990,399,739,296,174
