"","Loretta WeinbergDemocratic","Modesto RomeroRepublican","Gordon M. JohnsonDemocratic","Valerie Vainieri HuttleDemocratic","Gino P. TessaroRepublican","Angela HendricksRepublican","Claudio I. BelusicLibertarian Party"
BERGEN COUNTY,,,,,,,
Alpine Boro,214,197,199,216,198,189,5
Bogota Boro,"1,292",638,"1,229","1,249",629,639,16
Cresskill Boro,"1,020",755,949,969,778,754,16
Englewood City,"4,778",871,"4,661","4,606",863,865,43
Englewood Cliffs Boro,919,820,905,905,817,809,16
Fort Lee Boro,"4,741","1,833","4,541","4,545","1,828","1,812",54
Hackensack City,"5,715","1,551","5,684","5,681","1,309","1,308",68
Leonia Boro,"1,506",496,"1,437","1,450",509,515,17
Northvale Boro,612,509,596,607,502,469,13
Palisades Park Boro,"1,218",642,"1,193","1,193",607,625,22
Rockleigh Boro,34,57,31,32,53,53,5
Teaneck Twp.,"8,642","1,544","8,186","8,166","1,647","1,655",83
Tenafly Boro,"2,326",875,"2,187","2,236",870,883,34
COUNTY TOTAL,"33,017","10,788","31,798","31,855","10,610","10,576",392
DISTRICT TOTAL,"33,017","10,788","31,798","31,855","10,610","10,576",392
