"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Bayonne City,"6,948","3,395",66,36,46,37,55
East Newark Boro,214,40,0,0,1,0,1
Guttenberg Town,"1,341",286,13,4,7,1,1
Harrison Town,"1,477",335,10,7,2,0,11
Hoboken City,"10,731","3,215",77,106,61,29,44
Jersey City,"34,659","4,837",204,149,276,138,221
Kearny Town,"3,382","1,569",34,23,16,10,30
North Bergen Town,"9,050","1,670",31,18,27,12,36
Secaucus Town,"2,520","1,479",20,11,14,16,26
Union City,"10,808","1,058",18,20,21,30,25
Weehawken Twp.,"2,457",483,8,9,11,3,6
West New York Town,"4,684",869,28,17,14,14,19
Total,"88,271","19,236",509,400,496,290,475
