"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Andover Boro,70,103,1,2,3,0,1
Andover Township,608,990,15,10,20,4,9
Branchville Boro,94,180,8,0,3,5,3
Byram Twp.,"1,015","1,670",39,20,13,5,25
Frankford Twp.,616,"1,287",13,15,15,18,15
Franklin Boro,414,756,15,11,16,0,15
Fredon Twp.,362,714,20,7,9,9,5
Green Twp.,325,739,8,9,16,6,7
Hamburg Boro,314,467,13,8,5,6,4
Hampton Twp.,611,"1,022",14,24,24,18,10
Hardyston Twp.,913,"1,390",15,12,7,14,18
Hopatcong Boro,"1,467","2,364",47,35,24,19,36
Lafayette Twp.,219,584,8,7,4,7,5
Montague Twp.,302,603,14,14,7,7,9
Newton Town,813,962,28,9,18,15,14
Ogdensburg Boro,234,402,5,2,3,1,8
Sandyston Twp.,203,443,5,4,8,6,1
Sparta Twp.,"2,333","3,375",43,46,24,18,26
Stanhope Boro,404,555,7,15,15,8,4
Stillwater Twp.,476,818,14,27,14,8,15
Sussex Boro,132,220,3,4,3,7,5
Vernon Twp.,"2,546","3,732",83,64,53,17,85
Walpack Twp.,0,5,0,0,0,0,0
Wantage Twp.,960,"2,020",30,20,27,26,29
Total,"15,431","25,401",448,365,331,224,349
