"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
East Windsor Twp.,"4,050","2,321",42,29,33,17,13
Ewing Twp.,"7,147","2,815",47,48,56,32,18
Hamilton Twp.,"13,180","11,996",150,138,102,144,56
Hightstown Boro,744,493,7,5,15,6,3
Hopewell Boro,609,188,1,3,3,2,1
Hopewell Twp.,"3,849","2,527",33,22,32,15,7
Lawrence Twp.,"6,318","2,777",50,44,75,17,13
Pennington  Boro,730,296,4,5,6,4,0
Princeton,"6,648","1,491",41,39,73,8,8
Trenton City,"9,128",872,32,11,42,19,39
Twp. of Robbinsville,"2,190","2,159",21,30,21,19,6
West Windsor Twp.,"5,399","2,710",35,25,58,17,4
Total,"59,992","30,645",463,399,516,300,168
