"",,,,Eliana Pintor,,,
"",M. Teresa Ruiz,Maria E. Lopez,Pablo Olivera,,Shanique Speight,Jeannette Veras,Charles G. Hood
"",,,,Marin,,,
"",Democratic,Republican,One Nation Party,,Democatic,Republican,Republican
"",,,,Democatic,,,
ESSEX COUNTY,,,,,,,
Belleville Twp.,"3,065","1,411",112,"2,754","2,556","1,419","1,571"
Newark City,"17,441","1,136",337,"16,334","15,752","1,155","1,051"
COUNTY TOTAL,"20,506","2,547",449,"19,088","18,308","2,574","2,622"
DISTRICT TOTAL,"20,506","2,547",449,"19,088","18,308","2,574","2,622"
