"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FilesReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FilesConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Audubon Boro,"1,698","1,008",16,33,16,13,1
Audubon Park Boro,159,106,2,2,3,2,0
Barrington Boro,"1,100",701,13,18,10,6,2
Bellmawr Boro,"1,514",962,19,20,8,5,5
Berlin Boro,"1,061",947,18,23,6,4,9
Berlin Township,773,498,11,13,9,4,8
Brooklawn Boro,250,131,4,3,0,2,1
Camden City,"7,112",299,15,30,29,6,32
Cherry Hill Twp.,"13,758","6,642",102,130,95,30,16
Chesilhurst Boro,298,89,0,4,0,0,3
Clementon Boro,606,360,7,9,2,5,6
Collingswood Boro,"3,435",915,28,38,65,10,6
Gibbsboro Boro,362,295,11,6,3,0,0
Gloucester City,"1,275",697,11,31,14,6,0
Gloucester Twp.,"9,847","5,653",119,110,43,26,16
Haddon Heights Boro,"1,794","1,109",28,22,26,6,0
Haddon Twp.,"3,413","1,638",22,33,29,7,4
Haddonfield Boro,"2,877","1,578",24,19,17,4,1
Hi-Nella Boro,95,59,3,1,1,0,1
Laurel Springs Boro,379,262,4,11,7,0,0
Lawnside Boro,914,26,1,0,0,2,2
Lindenwood Boro,"2,118",591,15,17,12,7,5
Magnolia Boro,695,331,8,19,7,6,0
Merchantville Boro,635,331,8,14,3,3,1
Mount Ephraim Boro,668,465,12,14,2,6,0
Oaklyn Boro,700,392,8,13,12,2,1
Pennsauken  Twp.,"5,776","1,670",47,44,30,14,11
Pine Hill Boro,"1,408",566,14,23,9,5,8
Pine Valley Boro,2,6,0,0,0,0,0
Runnemede Boro,"1,102",658,10,15,9,3,4
Somerdale Boro,930,344,6,9,4,3,0
Stratford Boro,"1,063",681,7,15,5,3,1
Travistock Boro,0,3,0,0,0,0,0
Voorhees Twp.,"5,124","2,721",42,51,26,11,3
Waterford Twp.,"1,304","1,553",26,36,10,8,10
WinslowTwp.,"6,732","2,768",47,49,26,29,14
Woodlynne Boro,291,58,1,1,0,0,2
Total,"81,268","37,113",709,876,538,238,173
