"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FilesReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FilesConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Allamuchy Twp.,556,938,16,11,7,0,8
Alpha Boro,242,343,4,7,4,3,3
Belvidere Town,282,429,15,5,2,5,11
Blairstown Twp.,590,"1,094",24,9,13,19,12
Franklin Twp.,248,691,5,6,3,3,6
Frelinghuysen Twp.,187,470,6,6,9,7,5
Greenwich Twp.,567,859,19,6,2,5,6
Hackettstown Town,838,"1,222",17,9,9,6,8
Hardwick Twp.,162,314,3,3,5,6,0
Harmony Twp.,201,499,9,4,7,2,2
Hope Twp.,176,490,12,6,14,2,3
Independence Twp.,567,925,14,8,4,4,5
Knowlton Twp.,261,525,5,7,6,2,3
Liberty Twp.,262,561,14,8,3,2,5
Lopatcong Twp.,881,"1,283",20,17,11,10,12
Mansfield Twp.,583,"1,165",14,12,9,3,8
Oxford Twp.,187,417,7,5,4,4,1
Phillipsburg Town,"1,345","1,329",35,19,23,19,23
Pohatcong Twp.,316,522,10,7,2,4,3
Washington Boro,617,838,23,12,13,5,10
Washington Twp.,609,"1,374",32,6,11,10,9
White Twp.,388,"1,121",15,8,9,13,11
