"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FilesReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FilesConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Bass River Twp,128,245,1,3,1,9,1
Beverly City,325,193,1,1,3,4,2
Bordentown City,897,440,10,13,11,9,2
Bordentown Twp,"1,791","1,410",14,18,8,12,3
Burlington City,"1,552",707,10,13,7,7,1
Burlington Twp,"4,424","2,015",22,31,14,16,12
Chesterfield Twp,905,916,6,11,10,3,0
Cinnaminson Twp,"2,761","2,483",15,28,15,24,2
Delanco Twp.,834,643,4,13,5,3,3
Delran Twp.,"2,240","1,840",21,17,13,15,3
Eastampton Twp,953,651,9,10,6,6,1
Edgewater Park Twp.,"1,411",635,6,8,4,5,2
Evesham Twp,"6,990","5,614",48,76,34,40,9
Fieldsboro Boro,107,62,1,4,0,1,1
Florence Twp,"1,996","1,883",13,21,15,31,3
Hainesport Twp,965,"1,151",8,19,2,6,0
Lumberton Twp,"2,032","1,461",15,24,10,15,3
Mansfield Twp,"1,482","1,894",20,14,11,8,6
Maple Shade Twp.,"2,245","1,429",19,17,14,10,4
Medford Lakes Boro,814,762,12,13,4,8,2
Medford Twp.,"3,733","4,144",19,54,28,20,6
Moorestown Twp.,"3,738","3,012",22,19,32,18,1
Mount Holly Twp.,"1,341",742,7,18,8,11,4
Mount Laurel Twp.,"7,378","5,161",42,73,32,34,6
New Hanover Twp.,85,173,1,2,0,1,0
North Hanover Twp.,459,847,2,9,7,12,0
Palmyra Boro,"1,347",732,12,14,13,6,3
Pemberton Boro,187,192,0,1,2,3,1
Pemberton Township,"2,693","2,056",23,26,17,20,7
RiversideTwp.,767,598,9,7,5,12,5
Riverton Boro,583,413,2,2,3,2,0
Shamong Twp.,721,"1,230",10,13,5,4,0
Southampton Twp.,"1,323","2,160",11,23,12,9,2
Springfield Twp.,383,705,3,8,3,4,1
Tabernacle Twp.,818,"1,375",10,11,3,9,0
Washington Twp.,85,111,1,3,0,0,0
Westampton Twp.,"1,770","1,038",7,14,7,12,0
Willingboro Twp.,"8,011",794,23,13,17,30,8
Woodland Twp.,136,227,5,5,2,5,2
Wrightstown Boro,43,47,1,1,1,1,0
Total,"70,453","52,191",465,670,384,445,106
