"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Clayton Boro,"1,295",754,14,5,4,5,20
Deptford Twp.,"4,511","2,716",39,46,16,27,62
East Greenwich Twp.,"1,578","1,508",16,17,7,8,10
Elk Twp.,598,674,8,7,8,10,8
Franklin Twp.,"2,105","2,277",24,27,16,12,38
Glassboro Boro,"2,508","1,306",21,31,12,13,38
Greenwich Twp.,"1,010",804,15,13,7,3,28
Harrison Twp.,"1,720","2,192",22,32,9,7,23
Logan Twp.,989,561,5,17,5,5,13
Mantua Twp.,"2,347","1,919",33,17,20,8,22
Monroe Twp.,"4,974","3,436",53,40,25,17,70
National Park Boro,384,306,2,6,3,0,7
Newfield Boro,223,220,8,1,1,0,1
Paulsboro Boro,866,274,9,3,3,3,18
Pitman Boro,"1,686","1,293",10,29,15,11,34
South Harrison Twp.,383,534,1,7,4,2,6
Swedesboro Boro,304,202,4,6,1,0,5
Washington Twp.,"6,423","5,658",69,50,39,14,68
Wenonah Boro,533,403,5,3,6,1,6
West Deptford Twp.,"3,710","2,422",29,30,34,13,60
Westville Boro,455,362,11,7,4,5,8
Woodbury City,"1,570",815,14,9,10,7,27
Woodbury Heights Boro,538,384,12,5,3,1,5
Woolwich Twp.,"1,639","1,428",25,15,7,2,16
Total,"42,349","32,448",449,423,259,174,593
