"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Boonton Town,"1,183","1,207",11,16,9,6,10
Boonton Township,586,899,5,10,4,1,2
Butler Boro,851,"1,055",10,12,9,7,8
Chatham Boro,"1,524","1,327",24,17,9,2,8
Chatham Twp,"1,716","2,018",18,9,6,5,8
Chester Boro,201,335,0,5,1,2,1
Chester Township,912,"1,626",11,16,12,3,4
Denville Twp,"2,477","3,176",23,32,26,18,25
Dover Town,"1,657",719,10,7,14,11,14
East Hanover Twp,"1,197","2,324",8,8,11,4,10
Florham Park Boro,"1,452","1,878",4,9,9,2,6
Hanover Twp,"1,789","2,732",9,20,24,8,8
Harding Twp,502,"1,007",7,6,5,0,2
Jefferson Twp,"2,169","3,442",18,39,26,12,22
Kinnelon Boro,"1,208","1,842",8,18,7,9,8
Lincoln Park Boro,"1,198","1,380",8,11,11,10,13
Long Hill Twp,"1,247","1,836",105,17,8,6,13
Madison Boro,"2,636","2,164",17,23,21,5,10
Mendham Boro,748,"1,129",5,8,8,1,5
Mendham Twp,932,"1,305",6,10,9,1,3
Mine Hill Twp,457,539,4,9,5,3,9
Montville Twp,"2,494","3,782",17,25,14,8,19
Morris Plains Boro,"1,000",985,5,9,12,2,2
Morris Twp,"4,276","3,681",27,23,22,9,13
Morristown Town,"2,758","1,194",9,26,21,6,16
Mount Arlington Boro,653,"1,010",6,7,8,7,5
Mount Olive Twp,"2,972","3,663",33,48,42,12,19
Mountain Lakes Boro,708,713,3,8,3,0,5
Netcong Boro,296,487,0,9,3,1,4
Parsippany-Troy Hills Twp,"7,147","6,672",68,75,51,26,47
Pequannock Twp.,"2,380","2,915",14,29,12,7,18
Randolph Twp,"3,530","3,558",32,33,32,14,17
Riverdale Boro,479,683,7,10,6,3,2
Rockaway Boro,783,993,7,6,5,9,7
Rockaway Twp,"3,657","4,025",30,50,27,21,30
Roxbury Twp,"2,557","4,285",35,51,19,14,22
Victory Gardens Boro,136,42,1,1,0,0,3
Washington Twp,"2,282","3,814",13,26,26,10,14
Wharton Boro,757,761,3,9,5,2,8
Total,"65,507","77,203",621,747,542,267,440
