"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FilesReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FilesConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Berkeley Heights Twp.,"2,076","2,173",104,34,13,3,0
Clark Twp.,"1,734","2,688",39,23,16,34,5
Cranford Twp.,"4,433","3,598",72,53,36,37,9
Elizabeth City,"10,589","2,140",64,28,65,66,18
Fanwood Boro,"1,615","1,037",22,13,13,8,5
Garwood Boro,698,654,14,14,14,8,1
Hillside Twp.,"4,381",678,19,10,9,7,11
Kenilworth Boro,912,"1,065",17,6,9,12,4
Linden City,"5,665","2,021",53,28,26,63,10
Mountainside Boro,"1,020","1,443",20,3,9,5,2
New Providence Boro,"1,937","1,968",63,22,10,13,3
Plainfield City,"6,992",631,50,11,29,63,36
Rahway City,"4,489","1,648",50,23,38,31,18
Roselle Boro,"3,823",476,20,9,16,15,5
Roselle Park Boro,"1,789","1,223",30,14,10,17,3
Scotch Plains Twp.,"4,331","2,902",63,37,29,29,4
Springfield Twp.,"2,849","1,830",30,18,17,19,3
Summit City,"3,886","2,891",51,30,11,18,2
Union Twp.,"9,190","3,309",96,48,50,86,22
Westfield Town,"6,491","4,978",63,43,38,24,3
Winfield  Twp.,213,199,0,2,0,4,1
Total,"79,113","39,552",940,469,458,562,165
