"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FilesReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FilesConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Carteret Boro,"2,488","1,188",26,13,11,9,12
Cranbury Twp.,716,655,2,10,5,0,0
Dunellen Boro,765,774,16,18,13,3,2
East Brunswick Twp.,"6,532","5,137",71,81,131,48,10
Edison Twp.,"12,453","8,382",108,106,170,48,19
Helmetta Boro,216,334,5,11,4,6,1
Highland Park Boro,"2,801",761,17,11,470,3,2
Jamesburg Boro,510,548,9,3,11,4,0
Metuchen Boro,"2,994","1,605",33,29,70,5,7
Middlesex Boro,"1,524","2,022",25,33,21,4,7
Milltown Boro,"1,076","1,326",18,22,18,13,1
Monroe Twp.,"8,066","7,982",84,63,54,55,16
New Brunswick Twp.,"3,616",590,14,33,87,7,7
North Brunswick Twp.,"5,259","2,732",42,40,78,13,18
Old Bridge Twp.,"7,014","7,654",78,109,53,63,32
Perth Amboy City,"4,513",928,19,19,23,13,16
Piscataway Twp.,"7,963","3,376",62,61,86,22,19
Plainsboro Twp.,"2,893","1,239",29,20,28,6,0
Sayreville Boro,"4,752","4,617",70,68,44,32,17
South Amboy City,945,"1,019",17,14,9,10,2
South Brunswick Twp.,"6,957","3,757",72,55,52,21,18
South Plainfield Boro,"3,070","3,173",35,25,28,21,6
South River Boro,"1,402","1,508",11,16,21,4,3
Spotswood Boro,792,"1,341",12,17,9,15,4
Woodbridge Twp.,"11,530","8,292",135,158,110,72,51
Total,"100,847","70,940","1,010","1,035","1,606",497,270
