




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Bedminster D 1                487                           160                           32.85%
Bedminster D 2                648                           165                           25.46%
Bedminster D 3                605                           153                           25.29%
Bedminster D 4                719                           193                           26.84%
Bedminster D 5                1007                          253                           25.12%
Bedminster D 6                896                           239                           26.67%
Bedminster D 7                876                           242                           27.63%
Bedminster D 8                712                           173                           24.30%
Bedminster D 9                512                           134                           26.17%
Bedminster Mail-In Ballot     0                             66                            0.00%
Bedminster Provo              0                             2                             0.00%
Bernards D 1                  599                           137                           22.87%
Bernards D 2                  807                           248                           30.73%
Bernards D 3                  737                           249                           33.79%
Bernards D 4                  748                           158                           21.12%
Bernards D 5                  800                           216                           27.00%
Bernards D 6                  823                           193                           23.45%
Bernards D 7                  730                           230                           31.51%
Bernards D 8                  890                           243                           27.30%
Bernards D 9                  950                           246                           25.89%
Bernards D 10                 952                           306                           32.14%
Bernards D 11                 835                           236                           28.26%
Bernards D 12                 914                           224                           24.51%
Bernards D 13                 962                           275                           28.59%
Bernards D 14                 894                           207                           23.15%
Bernards D 15                 789                           235                           29.78%
Bernards D 16                 497                           109                           21.93%
Bernards D 17                 888                           217                           24.44%
Bernards D 18                 877                           279                           31.81%
Bernards D 19                 870                           249                           28.62%
Bernards D 20                 796                           309                           38.82%
Bernards D 21                 759                           188                           24.77%
Bernards D 22                 667                           131                           19.64%
Bernards D 23                 665                           180                           27.07%
Bernards D 24                 686                           183                           26.68%
Bernards Mail-In Ballot       0                             247                           0.00%
Bernards Provo                0                             11                            0.00%
Bernardsville D 1             853                           260                           30.48%
Bernardsville D 2             746                           239                           32.04%
Bernardsville D 3             822                           196                           23.84%
Bernardsville D 4             778                           208                           26.74%
Bernardsville D 5             734                           191                           26.02%
Bernardsville D 6             845                           210                           24.85%
Bernardsville D 7             783                           230                           29.37%
Bernardsville Mail-In Ballot  0                             95                            0.00%
Bernardsville Provo           0                             5                             0.00%
Bound Brook D 1               905                           197                           21.77%
Bound Brook D 2               483                           14                            2.90%
Bound Brook D 3               692                           161                           23.27%
Bound Brook D 4               919                           178                           19.37%
Bound Brook D 5               459                           152                           33.12%
Bound Brook D 6               625                           171                           27.36%
Bound Brook D 7               489                           143                           29.24%
Bound Brook Mail-In Ballot    0                             40                            0.00%
Bound Brook Provo             0                             7                             0.00%
Branchburg D 1                832                           230                           27.64%
Branchburg D 2                863                           173                           20.05%
Branchburg D 3                656                           167                           25.46%
Branchburg D 4                615                           191                           31.06%
Branchburg D 5                678                           227                           33.48%
Branchburg D 6                890                           258                           28.99%
Branchburg D 7                903                           210                           23.26%
Branchburg D 8                852                           211                           24.77%
Branchburg D 9                758                           188                           24.80%
Branchburg D 10               617                           178                           28.85%
Branchburg D 11               833                           206                           24.73%
Branchburg D 12               684                           187                           27.34%
Branchburg D 13               765                           209                           27.32%
Branchburg D 14               494                           112                           22.67%
Branchburg Mail-In Ballot     0                             90                            0.00%
Branchburg Provo              0                             4                             0.00%
Bridgewater D 1               899                           242                           26.92%
Bridgewater D 2               1155                          276                           23.90%
Bridgewater D 3               893                           195                           21.84%
Bridgewater D 4               880                           214                           24.32%
Bridgewater D 5               901                           200                           22.20%
Bridgewater D 6               754                           206                           27.32%
Bridgewater D 7               700                           194                           27.71%
Bridgewater D 8               746                           156                           20.91%
Bridgewater D 9               691                           167                           24.17%
Bridgewater D 10              1044                          271                           25.96%
Bridgewater D 11              696                           160                           22.99%
Bridgewater D 12              887                           246                           27.73%
Bridgewater D 13              673                           178                           26.45%
Bridgewater D 14              779                           189                           24.26%
Bridgewater D 15              814                           200                           24.57%
Bridgewater D 16              764                           215                           28.14%
Bridgewater D 17              578                           154                           26.64%
Bridgewater D 18              751                           191                           25.43%
Bridgewater D 19              789                           209                           26.49%
Bridgewater D 20              958                           261                           27.24%
Bridgewater D 21              518                           133                           25.68%
Bridgewater D 22              888                           259                           29.17%
Bridgewater D 23              881                           188                           21.34%
Bridgewater D 24              889                           215                           24.18%
Bridgewater D 25              837                           184                           21.98%
Bridgewater D 26              780                           190                           24.36%
Bridgewater D 27              535                           126                           23.55%
Bridgewater D 28              725                           205                           28.28%
Bridgewater D 29              721                           172                           23.86%
Bridgewater D 30              769                           205                           26.66%
Bridgewater D 31              953                           210                           22.04%
Bridgewater D 32              929                           217                           23.36%
Bridgewater D 33              904                           216                           23.89%
Bridgewater D 34              900                           202                           22.44%
Bridgewater D 35              1011                          207                           20.47%
Bridgewater D 36              997                           188                           18.86%
Bridgewater Mail-In Ballot    0                             320                           0.00%
Bridgewater Provo             0                             23                            0.00%
Far Hills D 1                 751                           221                           29.43%
Far Hills Mail-In Ballot      0                             10                            0.00%
Far Hills Provo               0                             0                             0.00%
Franklin W1 D 1               550                           169                           30.73%
Franklin W1 D 2               865                           269                           31.10%
Franklin W1 D 3               894                           152                           17.00%
Franklin W1 D 4               966                           196                           20.29%
Franklin W1 D 5               767                           215                           28.03%
Franklin W1 D 6               769                           210                           27.31%
Franklin W1 D 7               899                           250                           27.81%
Franklin W1 D 8               752                           213                           28.32%
Franklin W1 D 9               795                           206                           25.91%
Franklin W1 D 10              850                           217                           25.53%
Franklin W 1 Mail-In Ballot   0                             0                             0.00%
Franklin W 1 Provo            0                             0                             0.00%
Franklin W2 D 11              1600                          443                           27.69%
Franklin W2 D 12              1037                          223                           21.50%
Franklin W2 D 13              736                           165                           22.42%
Franklin W2 D 14              712                           182                           25.56%
Franklin W2 D 15              602                           170                           28.24%
Franklin W2 D 16              859                           245                           28.52%
Franklin W2 D 17              879                           278                           31.63%
Franklin W2 D 18              914                           279                           30.53%
Franklin W2 D 19              672                           187                           27.83%
Franklin W2 D 20              828                           215                           25.97%
Franklin W2 D 21              813                           205                           25.22%
Franklin W2 D 22              929                           225                           24.22%
Franklin W 2 Mail-In Ballot   0                             0                             0.00%
Franklin W 2 Provo            0                             0                             0.00%
Franklin W3 D 24              658                           164                           24.92%
Franklin W3 D 26              811                           233                           28.73%
Franklin W3 D 27              722                           191                           26.45%
Franklin W3 D 28              751                           210                           27.96%
Franklin W3 D 29              685                           190                           27.74%
Franklin W3 D 30              806                           201                           24.94%
Franklin W3 D 31              976                           246                           25.20%
Franklin W3 D 32              609                           140                           22.99%
Franklin W3 D 33              697                           140                           20.09%
Franklin W3 D 34              798                           180                           22.56%
