MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
East Windsor Twp.,"7,156","3,548",67,51,17,5,2,0,0,1
Ewing Twp.,"11,910","4,218",103,56,18,4,1,3,1,4
Hamilton Twp.,"23,434","17,114",264,128,60,21,10,7,15,5
Hightstown Boro,"1,369",707,26,8,5,2,0,0,1,0
Hopewell Boro,815,313,6,7,0,0,0,0,0,0
Hopewell Twp.,"5,223","4,171",74,31,10,2,2,0,3,1
Lawrence Twp.,"9,798","4,688",113,44,28,9,2,1,3,1
Pennington  Boro,985,488,11,8,0,0,0,0,0,0
Princeton,"9,461","2,882",94,92,3,9,2,3,1,1
Robbinsville Twp.,"3,332","3,297",48,24,7,3,3,1,2,0
"Trenton, City of","23,125","1,528",33,33,10,13,2,4,1,1
West Windsor Twp.,"7,769","4,401",76,48,10,8,0,4,1,1
COUNTY TOTAL,"104,377","47,355",915,530,168,76,24,23,28,15
