MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Bayonne City,"12,735","5,067",98,166,35,11,13,12,19,30,17
East Newark Boro,356,59,2,1,0,0,0,0,0,1,0
Guttenberg Town,"2,366",500,20,18,2,1,4,3,2,1,3
Harrison Town,"2,458",520,22,31,2,2,3,3,3,4,2
Hoboken City,"12,819","5,695",210,184,35,27,12,22,16,21,11
Jersey City,"56,469","8,077",414,565,108,43,76,51,80,70,40
Kearny Town,"6,706","2,559",52,93,16,4,7,14,6,13,9
North Bergen Town,"15,187","3,196",54,100,18,15,9,5,9,18,6
Secaucus Town,"3,940","1,942",21,37,12,4,5,6,4,9,2
Union City,"14,094","2,169",56,79,8,12,4,4,8,14,7
Weehawken Twp.,"3,429",915,41,55,7,9,3,4,5,3,2
West New York Town,"9,166","2,139",26,60,10,11,7,6,7,13,5
Federal Overseas,185,38,1,6,3,,3,,2,,
COUNTY TOTAL,"139,910","32,876","1,017","1,395",256,139,146,130,161,197,104
