MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Avalon Boro,308,622,4,1,1,0,0,0,0,0
Cape May City,669,745,10,2,1,0,0,0,0,0
Cape May Point Boro,91,83,0,1,0,0,0,0,0,0
Dennis Twp.,"1,406","1,809",25,12,4,1,0,2,1,0
Lower Twp.,"4,823","5,493",66,18,28,3,2,1,0,2
Middle Twp.,"4,299","4,328",41,21,21,5,0,3,0,2
North Wildwood City,889,"1,209",7,1,7,1,0,0,0,0
Ocean City,"2,721","3,841",27,20,6,1,0,0,0,0
Sea Isle City,587,916,4,8,0,1,0,0,0,0
Stone Harbor Boro,216,411,4,1,1,0,0,1,0,0
Upper Twp.,"2,807","4,027",46,21,17,0,1,2,2,0
West Cape May Boro,385,235,5,0,2,0,0,2,0,2
West Wildwood Boro,165,154,1,0,0,0,0,0,0,0
Wildwood City,991,617,4,4,0,0,0,0,0,1
Wildwood Crest Boro,659,"1,046",4,1,1,0,0,0,0,0
Woodbine Boro,641,245,5,1,1,2,0,0,0,0
COUNTY TOTAL,"21,657","25,781",253,112,90,14,3,11,3,7
