MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Bedminster Twp.,"1,895","2,424",35,12,5,0,1,1,0,0
Bernards Twp.,"5,338","7,879",69,21,3,2,0,3,1,2
Bernardsville Boro,"1,408","2,318",20,15,2,2,0,1,3,1
Bound Brook Boro,"1,598","1,120",26,9,2,3,1,2,1,0
Branchburg Twp.,"2,902","4,537",62,18,2,5,0,3,2,0
Bridgewater Twp.,"9,561","10,664",152,30,9,10,2,10,10,4
Far Hills Boro,137,348,5,0,0,0,0,0,0,0
Franklin Twp.,"19,611","7,640",167,72,6,15,0,16,8,4
Green Brook Twp.,"1,394","1,653",31,8,0,0,1,2,1,0
Hillsborough Twp.,"9,071","8,842",194,52,6,17,3,11,16,2
Manville Boro,"1,702","1,641",34,12,4,4,0,4,1,0
Millstone Boro,118,119,2,0,0,0,0,0,0,0
Montgomery Twp.,"5,549","4,904",92,39,4,5,1,4,3,3
North Plainfield Boro,"4,655","1,671",36,18,1,1,0,2,2,1
Peapack & Gladstone Boro,464,796,14,3,1,0,0,0,0,0
Raritan Boro,"1,323","1,360",22,6,3,0,0,3,0,1
Rocky Hill Boro,252,137,3,3,1,0,0,0,0,0
Somerville Boro,"2,779","1,631",44,17,4,4,1,3,2,0
South Bound Brook Boro,"1,001",627,15,2,1,0,0,5,0,0
Warren Twp.,"2,636","4,605",48,16,0,3,0,3,0,0
Watchung Boro,"1,198","1,687",17,5,0,3,0,2,0,0
COUNTY TOTAL,"74,592","66,603","1,088",358,54,74,10,75,50,18
