"","Bill Pascrell Jr.Democratic","Shmuley BoteachRepublican","E. David SmithAbundant America","Jeanette WoolseyConstitution Party"
Bergen County,,,,
Carlstadt,"1,388",873,8,20
Cliffside Park,"5,105","2,045",13,33
Cresskill,"1,710","1,366",8,14
East Rutherford,"1,808",935,11,21
Edgewater,"2,144",862,5,16
Elmwood Park,"4,326","1,826",17,39
Englewood,"7,758","2,112",29,28
Englewood Cliffs,"1,156","1,034",7,11
Fort Lee,"7,263","3,859",24,50
Garfield,"5,048","1,625",25,68
Hasbrouck Heights,"2,820","2,025",13,30
Leonia,"2,309",894,7,29
Little Ferry,"1,862",828,2,14
Lyndhurst,"4,463","2,417",30,51
Moonachie,528,220,3,4
North Arlington,"3,620","1,923",15,41
Palisades Park,"2,367",847,15,17
Ridgefield,"2,147","1,210",13,22
Ridgefield Park,"2,874","1,125",11,22
Rutherford,"4,858","2,477",28,63
Saddle Brook,"3,278","1,835",16,38
South Hackensack,479,279,0,7
Teaneck,"2,595",698,7,12
Tenafly,"3,594","1,994",18,41
Teterboro,9,5,0,0
Wallington,"1,990","1,023",16,27
Woodridge,"2,206","1,186",9,15
Bergen Totals,"79,705","37,523",350,733
Hudson County,,,,
Kearny,"3,541","1,477",90,40
Secaucus,"3,723","1,593",59,31
Federal Overseas,4,,,
Hudson Totals,"7,268","3,070",149,71
Passaic County,,,,
Clifton,"18,985","7,141",222,132
Haledon,"2,134",489,17,9
Hawthorne,"4,608","2,873",38,40
Passaic,"10,843","2,226",206,46
Patterson,"37,634","1,526",144,49
Prospect Park,"1,657",246,12,2
Passaic Totals,"75,861","14,501",639,278
District 9 Totals,"162,834","55,094","1,138","1,082"
