MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Carteret Boro,"5,997","2,002",23,10,7,4,0,2,0,0
Cranbury Twp.,"1,076",971,9,8,1,2,1,1,0,0
Dunellen Boro,"1,387","1,047",22,10,1,2,2,1,1,0
East Brunswick Twp.,"11,848","9,064",163,64,24,12,4,3,3,2
Edison Twp.,"22,104","12,769",163,99,36,18,8,10,3,2
Helmetta Boro,463,442,7,2,3,0,0,0,0,1
Highland Park Boro,"4,470","1,528",56,67,5,3,5,7,4,1
Jamesburg Boro,"1,103",757,16,4,3,2,1,1,2,0
Metuchen Boro,"4,286","2,618",46,31,6,3,1,2,1,0
Middlesex Boro,"2,819","2,645",42,14,13,3,3,0,4,1
Milltown Boro,"1,784","1,828",37,13,0,1,0,1,0,1
Monroe Twp.,"12,113","10,361",86,28,33,9,2,2,3,3
New Brunswick Twp.,"9,176","1,576",125,97,4,10,2,5,1,3
North Brunswick Twp.,"10,367","4,605",78,56,26,3,5,3,3,1
Old Bridge Twp.,"13,127","10,911",133,48,31,8,5,5,3,7
Perth Amboy City,"11,774","1,667",38,20,20,10,5,2,5,0
Piscataway Twp.,"15,659","5,125",144,68,23,13,7,3,2,2
Plainsboro Twp.,"5,416","2,286",66,28,5,4,0,3,3,2
Sayerville Boro,"9,362","6,394",104,25,17,6,4,7,2,2
South Amboy City,"1,790","1,373",30,5,12,3,1,2,0,1
South Brunswick Twp.,"11,583","6,233",115,48,12,7,5,2,1,4
South Plainfield Boro,"5,720","4,043",65,13,21,4,8,0,3,0
South River Boro,"3,033","2,101",34,9,5,2,1,1,0,0
Spotswood Boro,"1,712","1,764",30,7,8,1,1,0,1,0
Woodbridge Twp.,"22,386","13,200",219,78,41,15,12,7,9,5
COUNTY TOTAL,"190,555","107,310","1,851",852,357,145,83,70,54,38
