MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Andover Boro,129,143,4,2,0,0,0,0,0,0
Andover Township,"1,034","1,703",27,17,1,3,1,1,1,2
Branchville Boro,156,259,0,2,0,1,0,0,1,0
Byram Twp.,"1,464","2,373",41,15,3,6,1,0,1,0
Frankford Twp.,953,"1,901",32,11,4,4,0,0,1,1
Franklin Boro,772,"1,121",34,7,6,0,2,1,1,1
Fredon Twp.,610,"1,237",18,6,1,1,1,0,1,0
Green Twp.,525,"1,206",13,7,0,2,1,1,0,0
Hamburg Boro,594,733,16,3,1,2,0,2,1,1
Hampton Twp.,989,"1,479",30,7,0,0,0,0,2,1
Hardyston Twp.,"1,531","2,186",27,7,1,2,0,0,4,0
Hopatcong Boro,"2,560","3,285",56,22,4,2,3,3,4,0
Lafayette Twp.,431,867,10,3,2,2,0,1,0,0
Montague Twp.,530,"1,001",15,7,2,2,1,1,1,1
Newton Town,"1,395","1,546",40,20,2,3,4,1,1,0
Ogdensburg Boro,463,636,12,3,1,2,0,1,0,0
Sandyston Twp.,327,661,10,2,2,2,1,0,0,0
Sparta Twp.,"3,747","6,370",113,33,5,10,3,1,1,0
Stanhope Boro,738,843,14,3,2,1,0,1,1,0
Stillwater Twp.,735,"1,283",28,8,0,2,0,1,0,0
Sussex Boro,270,391,6,1,1,0,0,0,2,1
Vernon Twp.,"4,322","6,111",150,51,8,10,3,2,1,1
Walpack Twp.,2,10,0,0,0,0,0,0,0,0
Wantage Twp.,"1,800","3,269",61,18,4,6,3,1,2,2
Federal Overseas,27,11,,,,,,,,
COUNTY TOTAL,"26,104","40,625",757,255,50,63,24,18,26,11
