MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Alexandria Twp,899,"1,695",23,10,2,2,0,1,1,0
Bethlehem Twp,800,"1,323",28,8,0,1,0,1,0,0
Bloomsbury Boro,172,223,3,3,1,0,1,0,0,0
Califon Boro,290,269,7,2,0,0,0,0,1,0
Clinton Town,623,693,10,3,1,1,2,0,0,0
Clinton Township,"2,628","4,265",46,27,3,5,5,0,2,2
Delaware Twp,"1,168","1,618",25,3,1,3,1,0,0,0
East Amwell Twp,961,"1,346",18,12,4,1,3,0,2,1
Flemington Boro,732,689,10,12,1,5,1,2,0,0
Franklin Twp,588,"1,166",11,4,1,1,0,1,0,0
Frenchtown Boro,431,250,6,11,0,1,0,1,0,0
Glen Gardner Boro,347,438,10,5,1,0,0,0,0,0
Hampton Boro,262,326,6,5,2,1,0,1,0,0
High Bridge Boro,893,846,23,7,1,0,0,1,0,0
Holland Twp,"1,041","1,680",23,12,2,1,3,2,0,0
Kingwood Twp,741,"1,282",16,6,1,1,1,2,0,0
Lambertville City,"1,684",627,20,12,0,2,0,0,1,0
Lebanon Boro,335,471,7,4,1,1,0,0,0,0
Lebanon Twp,"1,140","2,048",36,7,0,1,1,0,0,1
Milford Boro,297,314,9,10,1,1,0,0,0,0
Raritan Twp,"4,843","6,798",65,27,2,8,6,5,2,3
Readington Twp,"3,039","5,537",69,19,3,4,3,3,0,2
Stockton Boro,174,120,4,0,0,0,1,0,0,0
Tewksbury Twp,"1,100","2,291",37,10,0,1,1,1,0,1
Union Twp,955,"1,545",24,13,0,2,1,0,2,0
West Amwell Twp,733,827,13,6,0,0,0,0,0,1
COUNTY TOTAL,"26,876","38,687",549,238,28,43,30,21,11,11
