MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Clayton Boro,"2,247","1,206",33,10,0,1,0,0,0,1
Deptford Twp.,"8,427","4,938",97,55,8,3,1,2,1,1
East Greenwich Twp.,"2,346","2,752",38,11,2,0,0,1,0,0
Elk Twp.,"1,116","1,039",16,9,1,0,0,0,0,0
Franklin Twp.,"3,782","3,553",58,36,4,0,1,1,0,1
Glassboro Boro,"4,578","2,485",62,47,11,2,1,1,3,1
Greenwich Twp.,"1,435","1,206",26,9,2,1,0,0,1,0
Harrison Twp.,"2,612","3,561",56,20,3,2,0,0,0,0
Logan Twp.,"1,779","1,157",30,10,0,1,0,0,1,0
Mantua Twp.,"3,855","3,692",78,32,3,1,0,2,1,0
Monroe Twp.,"8,986","6,513",76,57,5,2,1,1,0,3
National Park Boro,819,442,11,12,0,0,0,0,0,0
Newfield Boro,388,405,5,3,0,0,1,0,0,0
Paulsboro Boro,"1,945",501,12,4,3,2,0,0,0,0
Pitman Boro,"2,340","2,036",49,26,2,1,0,1,1,2
South Harrison Twp.,625,"1,008",13,7,0,1,0,0,0,0
Swedesboro Boro,632,417,10,2,1,0,0,0,0,0
Washington Twp.,"12,050","12,169",169,84,5,7,3,3,0,2
Wenonah Boro,727,619,20,6,0,0,0,0,0,0
West Deptford Twp.,"6,119","4,463",70,51,8,0,0,2,1,0
Westville Boro,967,685,30,6,2,2,0,0,0,0
Woodbury City,"2,972","1,356",39,21,3,0,1,0,0,1
Woodbury Heights Boro,946,702,7,8,0,0,0,0,0,0
Woolwich Twp.,"2,289","2,536",35,13,4,0,0,0,1,0
Federal Overseas,31,15,,,,,,,,
COUNTY TOTAL,"74,013","59,456","1,040",539,67,26,9,14,10,12
