MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Berkeley Heights Twp.,"2,634","3,463",50,12,35,12,7,2,3,0,1
Clark Twp.,"2,877","3,991",39,20,33,12,6,9,6,1,1
Cranford Twp.,"5,702","5,197",77,41,68,17,6,130,8,3,1
Elizabeth City,"21,934","3,549",71,43,83,37,31,19,16,6,16
Fanwood Boro,"2,046","1,577",18,9,20,7,1,4,4,0,3
Garwood Boro,880,851,14,2,7,2,2,3,0,0,0
Hillside Twp.,"7,101",879,12,7,16,4,4,6,4,2,4
Kenilworth Boro,"1,407","1,441",18,8,19,4,5,2,1,0,2
Linden City,"9,989","2,966",52,56,63,26,11,8,9,4,8
Mountainside Boro,"1,345","1,904",16,11,20,3,2,6,2,0,1
New Providence Boro,"2,467","2,990",35,24,24,11,5,6,4,1,2
Plainfield City,"12,824",832,26,16,35,22,5,6,5,1,8
Rahway City,"7,351","2,347",54,25,49,21,5,9,5,1,3
Roselle Boro,"6,905",697,21,8,31,17,7,6,6,0,5
Roselle Park Boro,"2,763","1,588",24,16,42,12,8,2,2,1,4
Scotch Plains Twp.,"6,331","4,850",71,24,49,21,17,30,2,0,2
Springfield Twp.,"3,902","2,667",43,32,27,11,6,0,0,4,1
Summit City,"4,469","4,568",57,29,42,23,5,5,7,0,2
Union Twp.,"14,941","5,413",70,47,111,38,17,9,12,3,9
Westfield Town,"7,393","6,944",77,56,73,21,7,34,4,2,6
Winfield  Twp.,374,215,4,4,4,3,3,0,1,0,1
COUNTY TOTAL,"125,635","58,929",849,490,851,324,160,296,101,29,80
