MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Boonton Town,"1,675","1,625",19,14,13,11,1,1,1,0,0
Boonton Township,795,"1,331",8,9,3,5,0,2,2,0,0
Butler Boro,"1,341","1,586",13,8,5,5,3,4,1,3,2
Chatham Boro,"1,862","2,432",13,10,4,6,1,2,0,0,1
Chatham Twp,"1,922","3,215",24,9,5,4,1,3,2,0,0
Chester Boro,242,482,3,0,0,1,0,1,0,0,0
Chester Township,"1,151","2,459",14,4,4,8,0,2,1,0,1
Denville Twp,"3,559","4,568",36,28,16,20,11,5,4,2,3
Dover Town,"3,000",985,13,12,6,8,3,3,3,3,4
East Hanover Twp,"1,859","3,536",11,4,4,6,3,1,0,0,0
Florham Park Boro,"2,045","3,002",10,9,4,5,2,0,1,0,2
Hanover Twp,"2,546","3,970",21,10,7,14,5,6,2,0,2
Harding Twp,610,"1,543",6,9,3,1,0,1,0,0,0
Jefferson Twp,"3,534","4,793",30,13,15,21,6,3,5,1,1
Kinnelon Boro,"1,606","3,211",26,8,5,11,5,2,4,0,1
Lincoln Park Boro,"1,826","2,003",10,8,10,8,4,1,2,1,3
Long Hill Twp,"1,572","2,424",13,8,8,10,2,7,2,1,2
Madison Boro,"3,377","3,466",20,20,9,9,3,2,9,1,5
Mendham Boro,850,"1,573",7,6,3,4,1,4,0,0,1
Mendham Twp,"1,032","2,035",15,6,2,8,1,1,1,1,0
Mine Hill Twp,743,740,13,3,3,3,0,1,0,0,2
Montville Twp,"3,874","5,741",29,19,10,13,15,8,3,1,0
Morris Plains Boro,"1,286","1,580",11,11,3,4,1,0,4,0,0
Morris Twp,"5,374","5,805",37,26,13,21,4,4,7,3,3
Morristown Town,"4,080","1,930",31,21,16,16,5,8,3,0,2
Mount Arlington Boro,985,"1,325",10,1,3,6,0,1,0,0,0
Mount Olive Twp,"4,507","5,152",46,30,23,28,6,12,7,1,3
Mountain Lakes Boro,872,"1,161",11,2,2,5,1,2,0,0,1
Netcong Boro,446,556,7,4,2,2,0,3,0,0,1
Parsippany-Troy Hills Twp,"10,465","8,892",79,59,31,51,30,19,24,8,3
Pequannock Twp.,"3,122","4,353",22,17,9,18,2,2,6,1,1
Randolph Twp,"5,348","6,095",47,31,16,19,10,7,5,1,2
Riverdale Boro,742,972,9,1,6,5,0,1,2,0,0
Rockaway Boro,"1,246","1,320",11,9,8,5,1,2,1,0,1
Rockaway Twp,"5,213","5,725",34,37,23,33,4,12,3,1,2
Roxbury Twp,"3,941","5,836",36,16,14,19,10,1,6,2,5
Victory Gardens Boro,267,54,2,1,1,1,0,0,0,0,0
Washington Twp,"3,039","5,664",38,21,13,14,4,4,7,2,0
Wharton Boro,"1,214",930,7,6,2,3,1,6,2,1,1
Federal Overseas,41,8,1,3,,1,,,,,
COUNTY TOTAL,"93,209","114,078",793,513,324,432,146,144,120,34,55
