MUNICIPALITIES,"Robert MenendezDemocratic","Joe KyrillosRepublican","Kenneth R. KaplanLibertarian Party","Ken WolskiGreen Party","Gwen DiakosJersey Strong Independents","J. David DranikoffTotally Independent Candidate","Inder 'Andy' SoniAmerica First","Robert 'Turk' TurkavageResponsibility Fairness Integrity","Gregory PasonSocialist Party USA","Eugene Martin LavergneIndependent","Daryl Mikell BrooksReform Nation"
Carteret Boro,"5,761","1,628",22,4,34,5,15,4,7,3,0
Cranbury Twp.,"1,002",948,7,3,10,1,2,2,2,1,0
Dunellen Boro,"1,325",928,10,9,13,7,1,4,2,0,0
East Brunswick Twp.,"11,365","8,407",79,53,102,16,18,23,13,7,7
Edison Twp.,"20,987","11,357",154,101,184,30,93,53,24,9,14
Helmetta Boro,418,426,6,1,6,1,0,2,1,1,0
Highland Park Boro,"4,435","1,239",40,63,20,1,3,8,28,1,2
Jamesburg Boro,991,721,12,7,7,3,2,1,1,1,1
Metuchen Boro,"4,056","2,496",37,48,28,6,4,7,3,1,1
Middlesex Boro,"2,698","2,341",31,17,26,1,3,5,6,2,1
Milltown Boro,"1,739","1,687",31,9,21,3,3,1,2,0,0
Monroe Twp.,"11,528","9,583",70,39,106,11,35,25,4,3,12
New Brunswick Twp.,"8,456","1,363",103,99,61,8,7,17,30,1,3
North Brunswick Twp.,"9,707","4,274",67,59,67,18,29,16,8,1,6
Old Bridge Twp.,"11,988","10,360",115,59,144,21,32,35,22,8,9
Perth Amboy City,"10,529","1,210",35,18,44,5,10,14,8,1,7
Piscataway Twp.,"14,508","4,766",103,80,96,17,29,33,20,4,7
Plainsboro Twp.,"5,106","2,142",51,35,55,7,8,6,13,2,3
Sayerville Boro,"8,891","5,781",79,44,66,8,23,21,12,3,4
South Amboy City,"1,693","1,216",21,11,32,0,4,7,5,4,3
South Brunswick Twp.,"10,795","5,906",76,46,81,8,41,20,9,2,9
South Plainfield Boro,"5,382","3,723",39,17,64,2,9,14,6,3,3
South River Boro,"2,804","1,989",28,8,25,4,5,5,3,0,2
Spotswood Boro,"1,535","1,653",17,6,23,3,5,5,2,2,0
Woodbridge Twp.,"20,987","11,586",179,109,202,26,52,67,19,8,18
COUNTY TOTAL,"178,686","97,730","1,412",945,"1,517",212,433,395,250,68,112
