MUNICIPALITIES,"Barack ObamaDemocratic","Mitt RomneyRepublican","Gary JohnsonLibertarian Pary","Jill SteinGreen Party","Virgil GoodeConstitution Party","Ross C. (Rocky) AndersonNJ Justice Party","Jeff BossNSA DID 911","James HarrisSocialist Workers Party","Merlin MillerAmerican Third Position","Peta LindsaySocialism and Liberation"
Alloway Twp.,691,"1,019",17,8,2,2,0,0,2,0
Carneys Point Twp.,"1,974","1,379",24,12,3,1,1,3,2,0
Elmer Boro,224,356,6,3,0,0,0,0,0,0
Elsinboro Twp.,242,374,13,3,0,0,0,0,0,0
Lower Alloways Creek Twp.,313,620,4,3,1,2,0,0,0,1
Mannington Twp.,306,406,11,3,0,0,0,0,1,0
Oldmans Twp.,448,477,6,4,0,0,0,0,1,0
Penns Grove Boro,"1,234",265,2,6,0,0,0,2,1,2
Pennsville Twp.,"2,651","3,175",70,23,4,10,1,3,4,1
Pilesgrove Twp.,950,"1,273",17,10,2,0,0,1,1,0
Pittsgrove Twp.,"2,046","2,114",26,13,3,4,0,0,0,1
Quinton Twp.,522,673,7,6,0,1,0,0,1,0
Salem City,"1,674",309,5,12,1,3,0,1,1,1
Upper Pittsgrove Twp.,558,"1,102",17,6,2,0,0,0,1,1
Woodstown Boro,886,792,23,9,0,2,0,0,1,1
COUNTY TOTAL,"14,719","14,334",248,121,18,25,2,10,16,8
